Source,Target,Id,Length,Type,Weight
eng,hin,2,0.3097826086956522,Undirected,0.6902173913043478
eng,spa,3,0.2564516129032258,Undirected,0.7435483870967742
eng,fre,6,0.26442307692307687,Undirected,0.7355769230769231
eng,rus,7,0.23076923076923073,Undirected,0.7692307692307693
eng,por,8,0.21610169491525422,Undirected,0.7838983050847458
eng,urd,9,0.33333333333333337,Undirected,0.6666666666666666
eng,ger,11,0.23154362416107388,Undirected,0.7684563758389261
eng,ita,26,0.19444444444444442,Undirected,0.8055555555555556
eng,guj,28,0.3214285714285714,Undirected,0.6785714285714286
eng,hak,36,0.2785714285714286,Undirected,0.7214285714285714
eng,pol,39,0.2528089887640449,Undirected,0.7471910112359551
mnd,por,49,0.2678571428571429,Undirected,0.7321428571428571
mnd,urd,50,0.2727272727272727,Undirected,0.7272727272727273
mnd,ind,51,0.30102040816326525,Undirected,0.6989795918367347
mnd,jpn,53,0.32446808510638303,Undirected,0.675531914893617
mnd,cnt,58,0.1348314606741573,Undirected,0.8651685393258427
mnd,wuc,59,0.0625,Undirected,0.9375
mnd,kor,60,0.26086956521739135,Undirected,0.7391304347826086
mnd,vie,61,0.24820143884892087,Undirected,0.7517985611510791
mnd,pan,68,0.3470149253731343,Undirected,0.6529850746268657
mnd,tha,70,0.25375939849624063,Undirected,0.7462406015037594
mnd,bho,73,0.31034482758620685,Undirected,0.6896551724137931
mnd,hok,74,0.25,Undirected,0.75
mnd,hak,77,0.08333333333333337,Undirected,0.9166666666666666
mnd,yor,78,0.31343283582089554,Undirected,0.6865671641791045
mnd,brm,79,0.33720930232558144,Undirected,0.6627906976744186
hin,spa,85,0.33582089552238803,Undirected,0.664179104477612
hin,ams,86,0.34375,Undirected,0.65625
hin,ben,87,0.2941176470588235,Undirected,0.7058823529411765
hin,fre,88,0.3277777777777777,Undirected,0.6722222222222223
hin,rus,89,0.28125,Undirected,0.71875
hin,urd,91,0.019736842105263164,Undirected,0.9802631578947368
hin,ger,93,0.34962406015037595,Undirected,0.650375939849624
hin,mhi,95,0.234375,Undirected,0.765625
hin,tel,96,0.22619047619047616,Undirected,0.7738095238095238
hin,tur,97,0.31690140845070425,Undirected,0.6830985915492958
hin,tml,98,0.29605263157894735,Undirected,0.7039473684210527
hin,kor,101,0.30000000000000004,Undirected,0.7
hin,pan,109,0.045454545454545414,Undirected,0.9545454545454546
