Country Name,Country Code,2015,2016,2017,2018,2019
Aruba,ABW,"2919553072,6257","2965921787,7095","3056424581,00559",,
Afghanistan,AFG,"19907111418,9938","18017749073,9033","18869945677,9599","18353881129,881","19291104007,8299"
Angola,AGO,"116193649124,151","101123851090,455","122123822333,59","101353230784,594","88815697793,303"
Albania,ALB,"11386846319,1589","11861200797,4706","13019693450,8816","15147020535,3869","15279183289,9372"
Andorra,AND,"2789870187,50693","2896679211,86628","3000180750,11297","3218316013,22626","3154057987,23833"
Arab World,ARB,"2534723688142,23","2469440154484,43","2516121177762,82","2771384097904,53","2817414584665,11"
United Arab Emirates,ARE,"358135057862,492","357045064669,843","385605506854,881","422215043584,969","421142267937,65"
Argentina,ARG,"594749285413,212","557531376217,967","643628665302,668","517626700412,718","445445177459,426"
Armenia,ARM,"10553337672,9872","10546135160,031","11527458565,7334","12457941907,0333","13672802157,8324"
American Samoa,ASM,661000000,652000000,602000000,636000000,
Antigua and Barbuda,ATG,"1336692592,59259","1436585185,18519","1467977777,77778","1605351851,85185","1661962962,96296"
Australia,AUS,"1351693984524,5","1208846993739,99","1329188475752,32","1432881172002,17","1396567014733,23"
Austria,AUT,"381817565893,574","395568644341,038","417237869115,93","455094861902,062","445075391688,156"
Azerbaijan,AZE,"53074370486,0433","37867518957,1975","40865558912,3867","47112941176,4706","48047647058,8235"
Burundi,BDI,"3104394858,11518","2959640987,29943","3172292379,36329","3036931818,18182","3012334881,64057"
Belgium,BEL,"462149679343,822","475739588764,759","502698069366,942","543734366831,215","533097455834,509"
Benin,BEN,"11388160958,249","11821066152,5979","12701656930,6889","14250985958,6727","14390709094,9386"
Burkina Faso,BFA,"11832159275,603","12833363370,174","14106956830,0857","16059910870,6239","15990803569,9961"
Bangladesh,BGD,"195078678697,23","221415188000,475","249711027660,253","274039092455,306","302571254131,135"
Bulgaria,BGR,"50647442756,7445","53806894796,3801","58971520599,2509","66230155099,5775","68558815111,6199"
Bahrain,BHR,"31050638297,8723","32234973404,2553","35473776595,7447",37652500000,"38574069148,9362"
"Bahamas, The",BHS,11710800000,11928500000,12490700000,13022100000,13578800000
Bosnia and Herzegovina,BIH,"16211541820,2438","16913330693,9653","18080118128,3854","20183510561,2553","20164193806,88"
Belarus,BLR,"56454734396,5842","47722657820,6675","54726595249,1849","60031262269,3365","63080457022,6599"
Belize,BLZ,1723800000,1775100000,1836600000,1871200000,1879613600
Bermuda,BMU,6654541000,6899911000,7142316000,7224329000,7484113000
Bolivia,BOL,"33000198248,3362","33941126200,0606","37508642165,3366","40287647930,4761","40895322843,7851"
Brazil,BRA,"1802214373741,32","1795700168991,49","2062831045935,95","1885482534238,33","1839758040765,62"
Barbados,BRB,4715000000,4830000000,4978000000,5086500000,5209000000
Brunei Darussalam,BRN,"12930394937,8137","11400854267,7188","12128104859,1498","13567351175,0315","13469422958,5105"
Bhutan,BTN,"2003598212,99135","2158972129,00307","2450364928,07302","2446866404,93058","2530547157,56678"
Botswana,BWA,"14420593484,0557","15646354089,458","17405588070,4332","18663265549,0196","18340480936,0444"
Central African Republic,CAF,"1695825708,45604","1825018190,85071","2072350151,13061","2220978978,17342","2220307368,69593"
Canada,CAN,"1556129524418,21","1528243213982,08","1649878054226,82","1716262621082,22","1736425629519,96"
Central Europe and the Baltics,CEB,"1292086768710,81","1320631381338,53","1463498188698,06","1644435698536,64","1668851928931,89"
Switzerland,CHE,"679832292004,984","671309197478,183","679950481622,843","705140620046,7","703082435158,864"
Channel Islands,CHI,,,,,
Chile,CHL,"243919085308,936","250440136356,127","277044950259,009","298258019275,049","282318159744,65"
China,CHN,"11061553079876,4","11233276536737,2","12310409370892,8","13894817549374,2",14279937467431
Cote d'Ivoire,CIV,"45814637971,4745","47964234560,0514","51588158717,5348","58011466450,8643","58539424929,7248"
Cameroon,CMR,"30928653813,8538","32643697595,8378","35009262788,15","38694156862,9922","39007354359,2798"
"Congo, Dem. Rep.",COD,"37917704900,0794","37134799974,5225","38019265625,8845","46831342212,5473","50400746171,4239"
"Congo, Rep.",COG,"11953249529,737","10335424288,4306","11198674674,3816","13518403446,9566","12267392146,5888"
Colombia,COL,"293481748240,779","282825009887,458","311883730690,129","333568923004,469","323615979418,651"
Comoros,COM,"966029542,038859","1012835518,26037","1077439662,5798","1178530757,72328","1165839927,06327"
