Name,WALS code,ISO 639-3,Genus,Family,Macroarea,Latitude,Longitude,Countries
!Xóõ,xoo,nmn,Tu,Tu,Africa,-24,21.5,Botswana
!Xun (Ekoka),xun,knw,Ju-Kung,Kxa,Africa,-19.67,18,Angola
//Ani,ani,hnh,Khoe-Kwadi,Khoe-Kwadi,Africa,-18.92,21.92,Botswana
/Xam,xam,xam,Tu,Tu,Africa,-31,21,South Africa
=|Hoan,huc,huc,=|Hoan,Kxa,Africa,-25.5,25,Botswana
Aari,aar,aiw,South Omotic,Afro-Asiatic,Africa,6,36.58,Ethiopia
Abau,aba,aau,Upper Sepik,Sepik,Papunesia,-4,141.25,Papua New Guinea
Abaza,abz,abq,Northwest Caucasian,Northwest Caucasian,Eurasia,44,42,Russia
Abenaki (Western),abw,abe,Algonquian,Algic,North America,44,-72.25,Canada
Abidji,abd,abi,Kwa,Niger-Congo,Africa,5.67,-4.58,Côte d'Ivoire
Abipón,abi,axb,South Guaicuruan,Guaicuruan,South America,-29,-61,Argentina
Abkhaz,abk,abk,Northwest Caucasian,Northwest Caucasian,Eurasia,43.08,41,Georgia
Abui,abv,abz,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.25,124.67,Indonesia
Abun,abu,kgr,North-Central Bird's Head,West Papuan,Papunesia,-0.5,132.5,Indonesia
Acehnese,ace,ace,Malayo-Sumbawan,Austronesian,Eurasia,5.5,95.5,Indonesia
Achagua,acg,aca,Inland Northern Arawakan,Arawakan,South America,4.42,-72.25,Colombia
Achang,acn,acn,Burmese-Lolo,Sino-Tibetan,Eurasia,25,98.5,China
Aché,ach,guq,Tupi-Guaraní,Tupian,South America,-25.25,-55.17,Paraguay
Achí,aci,acr,Mayan,Mayan,North America,15.17,-90.5,Guatemala
Acholi,acl,ach,Nilotic,Eastern Sudanic,Africa,3,32.67,Uganda
Achuar,acu,acu,Jivaroan,Jivaroan,South America,-2.67,-76,Peru
Achumawi,acm,acv,Palaihnihan,Hokan,North America,41.5,-121,United States
Acoma,aco,kjq,Keresan,Keresan,North America,34.92,-107.58,United States
Adamorobe Sign Language,ada,ads,Sign Languages,other,Africa,5.83,-0.17,Ghana
Adang,adg,adn,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.2,124,Indonesia
Adioukrou,adi,adj,Kwa,Niger-Congo,Africa,5.42,-4.58,Côte d'Ivoire
Adyghe (Abzakh),ady,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.23,40.58,Russia
Adyghe (Shapsugh),ash,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45,38.75,Russia
Adyghe (Temirgoy),adt,ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.22,39.7,Russia
Adynyamathanha,adn,adt,Central Pama-Nyungan,Pama-Nyungan,Australia,-30.5,139.5,Australia
Adzera,adz,adz,Oceanic,Austronesian,Papunesia,-6.25,146.25,Papua New Guinea
Aekyom,awi,awi,Awin-Pare,Awin-Pare,Papunesia,-5.75,141.42,Papua New Guinea
Afrikaans,afr,afr,Germanic,Indo-European,Africa,-31,22,South Africa
Agarabi,aga,agd,Eastern Highlands,Trans-New Guinea,Papunesia,-6.17,146,Papua New Guinea
Aghem,agh,agq,Bantoid,Niger-Congo,Africa,6.67,10,Cameroon
Aghu,ahu,ahh,Awju-Dumut,Trans-New Guinea,Papunesia,-6.17,140.17,Indonesia
Aghul,agl,agx,Lezgic,Nakh-Daghestanian,Eurasia,41.75,47.67,Russia
Agta (Central),agc,agt,Greater Central Philippine,Austronesian,Papunesia,17.97,121.83,Philippines
Agta (Dupaningan),agd,duo,Greater Central Philippine,Austronesian,Papunesia,18,122.08,Philippines
Aguacatec,agu,agu,Mayan,Mayan,North America,15.42,-91.33,Guatemala
Aguaruna,agr,agr,Jivaroan,Jivaroan,South America,-5,-78,Peru
Ahtna,aht,aht,Athapaskan,Na-Dene,North America,62,-145,United States
Aikaná,aik,tba,Aikaná,Aikaná,South America,-12.67,-60.67,Brazil
Ainu,ain,ain,Ainu,Ainu,Eurasia,43,143,Japan
Aizi,aiz,ahp,Kru,Niger-Congo,Africa,5.25,-4.5,Côte d'Ivoire
Aja,aja,aja,Kresh,Central Sudanic,Africa,7.33,25.67,Central African Republic
