description,equivalence_class,frequency,id,in_inventories,name,pk,segment_class
LATIN SMALL LETTER M,m,0.915488533,5AE9663626770D1D4B97AAE5769AB83C,2914,m,17,consonant
LATIN SMALL LETTER K,k,0.857681433,5A838FF4DABE1950734CFAFAB9383903,2730,k,13,consonant
LATIN SMALL LETTER J,j,0.853283066,ADF56B8E4119266843033E723A149AE2,2716,j,12,consonant
LATIN SMALL LETTER P,p,0.814954445,2D6FB64B3CDC3549EF11DB98A66A9EAD,2594,p,23,consonant
LATIN SMALL LETTER W,w,0.780081684,501394D0E2658752D9DA624E7DEBE14B,2483,w,38,consonant
LATIN SMALL LETTER N,n,0.737983035,E03DA215BAB0A158BA5D1CB5C4D5D6FD,2349,n,18,consonant
LATIN SMALL LETTER T,t,0.648444863,9F90F95459807624A486F03FE5A89978,2064,t,28,consonant
LATIN SMALL LETTER L,l,0.642161483,03413638BD1DFC7AEF53192FEF71F017,2044,l,16,consonant
LATIN SMALL LETTER S,s,0.634621426,7FF174469DAC4E61520F4E1610B2F088,2020,s,26,consonant
LATIN SMALL LETTER B,b,0.598806158,694212B746622E482E0E58D50036100E,1906,b,41,consonant
LATIN SMALL LETTER ENG,ŋ,0.595978637,941ED37AAF5E9C4E1B40D85008C6B2D9,1897,ŋ,19,consonant
LATIN SMALL LETTER SCRIPT G,ɡ,0.537857367,ECC959553F23387998DAF88D69D7736C,1712,ɡ,61,consonant
LATIN SMALL LETTER H,h,0.535029846,E7FBD92350B3CA8B7B5D77E36A607068,1703,h,9,consonant
LATIN SMALL LETTER D,d,0.432296576,E6253384902D489FDB1FE487B7ED4AB2,1376,d,42,consonant
LATIN SMALL LETTER R,r,0.418473139,5D1D7FB69E1A3C0C60001FBC0C19ED87,1332,r,79,consonant
LATIN SMALL LETTER F,f,0.417530631,86E80A7DA80F7F58CA76F85BACA48F86,1329,f,114,consonant
LATIN SMALL LETTER N WITH LEFT HOOK,ɲ,0.394282124,1AD6D96C35E6ADA62F1EAF5B167F75F7,1255,ɲ,230,consonant
LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH,tʃ,0.38265787,1348048F53951A5E29ABA6D5360925BA,1218,t̠ʃ,30,consonant
LATIN LETTER GLOTTAL STOP,ʔ,0.355325165,0844E3AEAF1C8E3837465942B92FE4C5,1131,ʔ,40,consonant
LATIN SMALL LETTER ESH,ʃ,0.346842601,9E7CDEEE9F0DE43C10181AE483F62CBD,1104,ʃ,81,consonant
LATIN SMALL LETTER Z,z,0.280552937,E77FDA2EAABA78B3E55A968B2257CF26,893,z,102,consonant
LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH,dʒ,0.257618599,C7364BE7F76504D8DE329FFF30C42424,820,d̠ʒ,156,consonant
LATIN SMALL LETTER V,v,0.256361923,033ACAA664F151FC56BC9595526BCFA4,816,v,140,consonant
LATIN SMALL LETTER R WITH FISHHOOK,ɾ,0.243166824,795215076D89B5B17C0D147BE5C341E3,774,ɾ,216,consonant
LATIN SMALL LETTER T - COMBINING BRIDGE BELOW,t,0.222117499,2DA484FF3408444AF11E01960C9C893A,707,t̪,194,consonant
LATIN SMALL LETTER T - LATIN SMALL LETTER S,ts,0.209236569,106C7FE93D986D037407524D08F3599A,666,ts,150,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL H,k,0.190072259,BD29F40254AA0996800A773122397C28,605,kʰ,14,consonant
LATIN SMALL LETTER P - MODIFIER LETTER SMALL H,p,0.185988062,6E065D8A2F199BCBC7CA7074EC4DE834,592,pʰ,24,consonant
LATIN SMALL LETTER X,x,0.180961357,F62AFB705D2A2D30BB41CF3FBE917891,576,x,98,consonant
LATIN SMALL LETTER N - COMBINING BRIDGE BELOW,n,0.16713792,2ED41B5E874292EB0C3BBC6F31DC6FCC,532,n̪,185,consonant
LATIN SMALL LETTER T WITH RETROFLEX HOOK,ʈ,0.1511153,64EABC4FDF5DE0BE02E889701FD34147,481,ʈ,160,consonant
LATIN SMALL LETTER EZH,ʒ,0.150172793,DAC6AC8BCA2D24EFF188A7129D280801,478,ʒ,103,consonant
LATIN SMALL LETTER GAMMA,ɣ,0.136977694,1832D7834F81DD97E33C58D9F70EC5C6,436,ɣ,280,consonant
LATIN SMALL LETTER D - COMBINING BRIDGE BELOW,d,0.136349356,198E3EBE25854A256D6C67EF286FA260,434,d̪,168,consonant
LATIN SMALL LETTER C,c,0.131322652,852A220443D41F0A63671A2F4DEC9788,418,c,279,consonant
LATIN SMALL LETTER T - MODIFIER LETTER SMALL H,t,0.126610116,4EEF82037BC182F6353941401E583F45,403,tʰ,29,consonant
LATIN SMALL LETTER N WITH RETROFLEX HOOK,ɳ,0.12535344,6838968A8DAA29313F3FD0EF4CE0AF3C,399,ɳ,186,consonant
LATIN SMALL LETTER N WITH CURL,ȵ,0.119384229,3D0CF306C0513DCDED517A5DFD4A1801,380,ȵ,2204,consonant
LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B,ɡb,0.117499215,1F27FEFCD8402C09E00300258B5A7EE2,374,ɡb,603,consonant
LATIN SMALL LETTER K - LATIN SMALL LETTER P,kp,0.117185046,3BE9D8AA68FB8CA25C1D8EE2091DC6D0,373,kp,607,consonant
LATIN SMALL LETTER K - MODIFIER LETTER SMALL W,k,0.116870877,AC7F42D0CB30C73616ABDC71149FEC44,372,kʷ,318,consonant
LATIN SMALL LETTER DOTLESS J WITH STROKE,ɟ,0.1156142,320B62404207303F61B0F772296C9545,368,ɟ,323,consonant
LATIN SMALL LETTER L WITH RETROFLEX HOOK,ɭ,0.112786679,512D7E3344FCD21B1EE47971D72DB39A,359,ɭ,212,consonant
LATIN SMALL LETTER T WITH CURL,ȶ,0.098334904,B0C9DE4849E0A1DA8F39238325BED0F4,313,ȶ,3171,consonant
LATIN SMALL LETTER D - LATIN SMALL LETTER Z,dz,0.098020735,17B1CFA69C0C6AB5362FFDB585C0C7DC,312,dz,206,consonant
GREEK SMALL LETTER BETA,β,0.096135721,A2DFF488C07B9A11B5DF5EA37214750D,306,β,151,consonant
LATIN SMALL LETTER TURNED R WITH HOOK,ɻ,0.096135721,A226BAACF325CDDFA1D1D7C55D9EA781,306,ɻ,310,consonant
LATIN SMALL LETTER B WITH HOOK,ɓ,0.094250707,CFA86CE56605194A2F338BA3E3974EA3,300,ɓ,261,consonant
LATIN SMALL LETTER M - LATIN SMALL LETTER B,mb,0.091737355,8DEC1745406483DE6A8030A28A69B646,292,mb,240,consonant
LATIN SMALL LETTER N - LATIN SMALL LETTER D,nd,0.084825636,6910328C2AAA6011720FA21FFE1665D8,270,nd,242,consonant
LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G,ŋɡ,0.084197298,95A609A900A52E93F9252FD72E8D136F,268,ŋɡ,246,consonant
LATIN SMALL LETTER D WITH TAIL,ɖ,0.080741439,BE81A18FCCFFEDC9ACF3B18F14E766BD,257,ɖ,157,consonant
LATIN SMALL LETTER Q,q,0.08042727,4AC7382217172B3821AE54CD38BD8698,256,q,55,consonant
LATIN SMALL LETTER D WITH HOOK,ɗ,0.077913918,192EEEA914E770D60BEC3F86DAED50AA,248,ɗ,262,consonant
LATIN SMALL LETTER K - MODIFIER LETTER APOSTROPHE,k,0.076028904,B9C749831BC59B5585B5AE2159F32788,242,kʼ,69,consonant
