Id,Label, lat, lng, cluster, size
juh, Ju|'hoan, -19.0, 21.0, 7, 0
lez, Lezgian, 41.6666666667, 47.8333333333, 2, 0
hin, Hindi, 25.0, 77.0, 2, 0
abk, Abkhaz, 43.0833333333, 41.0, 2, 0
kro, Krongo, 10.5, 30.0, 7, 0
orh, Oromo (Harar), 9.0, 42.0, 1, 0
hzb, Hunzib, 42.1666666667, 46.25, 2, 0
ing, Ingush, 43.1666666667, 45.0833333333, 2, 0
otm, Otomí (Mezquital), 20.1666666667, -99.1666666667, 6, 0
hun, Hungarian, 47.0, 20.0, 3, 0
aeg, Arabic (Egyptian), 30.0, 31.0, 1, 0
sml, Semelai, 3.0, 103.0, 6, 0
aco, Acoma, 34.9166666667, -107.583333333, 5, 0
brm, Burmese, 21.0, 96.0, 4, 0
nav, Navajo, 36.1666666667, -108.0, 5, 0
bur, Burushaski, 36.5, 74.5, 2, 0
bag, Bagirmi, 11.6666666667, 16.0, 6, 0
irq, Iraqw, -4.0, 35.5, 1, 0
knd, Kannada, 14.0, 76.0, 2, 0
khm, Khmer, 12.5, 105.0, 7, 0
