Language,Branch or Family,Speakers
German,Germanic,95000000
Russian,Slavic,95000000
French,Italic-Romance,60000000
Italian,Italic-Romance,57700000
English,Germanic,55600000
Spanish,Italic-Romance,45000000
Polish,Slavic,38663000
Ukrainian,Slavic,37000000
Romanian,Italic-Romance,23782000
Dutch,Germanic,21944000
Greek,Hellenic,13420000
Hungarian,Uralic,12606000
Czech,Slavic,10619000
Catalan,Italic-Romance,10000000
Portuguese,Italic-Romance,10000000
Swedish,Germanic,9197090
Serbian,Slavic,8957906
Bulgarian,Slavic,8157700
Albanian,Albanian,7400000
Croatian,Slavic,5752090
Danish,Germanic,5522490
Finnish,Uralic,5392180
Slovak,Slavic,5187740
Norwegian Bokmål,Germanic,3854000
Belarusian,Slavic,3312610
Lithuanian,Baltic,3001860
Galician,Italic-Romance,2355000
Bosnian,Slavic,2225290
Slovene,Slavic,2085000
Latvian,Baltic,1752260
Macedonian,Slavic,1407810
Sardinian,Italic-Romance,1200000
Estonian,Uralic,1165400
Norwegian Nynorsk,Germanic,846000
Walloon,Italic-Romance,600000
Basque,Basque,545872
Welsh,Celtic,536890
Maltese,Semitic,522000
Silesian,Slavic,510000
Montenegrin,Slavic,510000
Western Frisian,Germanic,467000
Luxembourgish,Germanic,336710
Icelandic,Germanic,300000
Irish,Celtic,276310
Occitan,Italic-Romance,220000
Breton,Celtic,206000
Picard,Italic-Romance,200000
Franco-Provençal,Italic-Romance,140000
Aromanian,Italic-Romance,114340
Asturian,Italic-Romance,110000
Scottish Gaelic,Celtic,68130
Faroese,Germanic,66150
Latin,Italic-Romance,30000
Sorbian,Slavic,30000
