L.glottocode,name,dataset,dialect,Consonant,Vowel,Group
bafi1243,Bafia,gm,Bafia - ~N/A~,27,20,27020
popt1235,Jakaltek,upsid,JACALTEC - ~N/A~,27,5,27005
laoo1244,Lao,ph,Lao - ~N/A~,28,12,28012
sanm1295,Mixtec (Chalcatongo),spa,Mixtec - ~N/A~,19,10,19010
baat1238,Bariba,aa,Bariba - ~N/A~,17,12,17012
keoo1238,Keo,ph,Ke''o; Kéo' - Udiworowatu,24,6,24006
plat1254,Malagasy,upsid,MALAGASY - ~N/A~,21,4,21004
luuu1242,Lü,upsid,LUE - ~N/A~,22,9,22009
mind1253,Fuzhou,upsid,FUZHOU - ~N/A~,14,7,14007
bett1235,Betta Kurumba,ph,Betta Kurumba - ~N/A~,22,15,22015
guaj1255,Guajajara,ph,Guajajara - ~N/A~,14,7,14007
mehr1241,Mehri,ea,Mehri - Mehri (Oman),31,14,31014
pott1240,Gadaba (Kondekor),ra,Ollari - ~N/A~,22,12,22012
lugb1240,Lugbara,spa,Logbara - ~N/A~,26,13,26013
iban1264,Iban,upsid,IBAN - ~N/A~,19,6,19006
ache1246,Aché,upsid,ACHE - ~N/A~,11,10,11010
walm1241,Walmatjari,er,Walmajarri - ~N/A~,17,6,17006
komo1258,Komo,upsid,KOMA - ~N/A~,23,8,23008
ital1282,Italian,ph,Italian - Mainstream Italian''',23,7,23007
nort2784,Nuni (Northern),aa,Nʋni - ~N/A~,21,30,21030
west2441,Arrernte (Western),ph,Arrarnte - Western Arrarnte,26,3,26003
port1283,Portuguese,spa,Portuguese - ~N/A~,23,15,23015
leni1238,Anguthimri,er,Linngithigh - ~N/A~,24,5,24005
amha1245,Amharic,upsid,AMHARIC - ~N/A~,30,7,30007
astu1245,Asturian,ea,Asturian - Asturian (Western),19,7,19007
selk1253,Selkup,ea,Taz Selkup - ~N/A~,16,25,16025
prin1242,Príncipense,gm,Principense - ~N/A~,22,7,22007
garo1247,Garo,ra,Garo - ~N/A~,16,5,16005
koyr1240,Koyra Chiini,gm,songhoy - ~N/A~,23,14,23014
awiy1238,Auyana,spa,Auyana - ~N/A~,11,6,11006
brok1247,Brokskat,ph,Brokskat - ~N/A~,31,10,31010
kron1241,Krongo,gm,Krongo - ~N/A~,40,20,40020
luuu1242,Lü,ea,Lue - Lue (Chieng Hung),21,18,21018
bora1263,Bora,saphon,Bora - ~N/A~,29,12,29012
mans1258,Mansi,ea,Northern Mansi - Northern Mansi (Sośva),20,11,20011
kayt1238,Kaytej,er,Kaytetye - ~N/A~,40,3,40003
nene1249,Nenets,ea,Tundra Nenets - Tundra Nenets (Western),27,8,27008
hadz1240,Hadza,upsid,HADZA - ~N/A~,57,5,57005
tele1256,Telefol,spa,Telefol - ~N/A~,17,8,17008
dyir1250,Dyirbal,er,Dyirbal - ~N/A~,13,3,13003
culi1244,Culina,saphon,Kulina - ~N/A~,17,4,17004
gara1269,Garrwa,er,Kunindirri - ~N/A~,14,3,14003
gure1255,Gureng Gureng,er,Gureng-gureng - ~N/A~,13,10,13010
bata1289,Batak (Toba),upsid,BATAK - ~N/A~,16,5,16005
gaaa1244,Gã,aa,Ga - ~N/A~,24,12,24012
tamp1252,Tampulma,upsid,TAMPULMA - ~N/A~,24,9,24009
cacu1241,Cacua,saphon,Kakua - ~N/A~,21,5,21005
tibe1272,Tibetan (Standard Spoken),ea,Shigatse Tibetan - ~N/A~,27,29,27029
darm1243,Darma,ra,Darmiya - ~N/A~,34,8,34008
pott1240,Gadaba (Kondekor),ea,Gadaba - ~N/A~,19,20,19020
sand1273,Sandawe,gm,Sandawe - ~N/A~,44,15,44015
pila1245,Pilagá,ph,Pilaga; Pilagá - ~N/A~,18,4,18004
lama1288,Lamang,gm,Lamang - ~N/A~,37,4,37004
baka1272,Baka (in Cameroon),aa,Baka - ~N/A~,25,7,25007
biri1256,Biri,er,Yilba - ~N/A~,15,3,15003
yane1238,Amuesha,spa,Amuesha - ~N/A~,23,6,23006
dagb1246,Dagbani,spa,Dagbani - ~N/A~,24,11,24011
dutc1256,Dutch,ph,Dutch - Belgian Standard,24,15,24015
awac1239,Awa Pit,saphon,Awa-Cuaiquer - ~N/A~,16,10,16010
tulu1258,Tulu,upsid,TULU - ~N/A~,24,13,24013
ngal1293,Ngalakan,er,Ngalakgan - ~N/A~,22,5,22005
gara1269,Garrwa,er,Garrwa - ~N/A~,14,3,14003
auuu1241,Au,ph,Au - ~N/A~,10,7,10007
myen1241,Mpongwe,gm,myene - ~N/A~,29,7,29007
muin1242,Muinane,saphon,Muinane - ~N/A~,22,6,22006
