L.glottocode,name,ds,AVG(c)
akan1250,Akan,aa,31
ngas1240,Angas,aa,36
bamb1269,Bambara,aa,43
bero1242,Birom,aa,31
biss1248,Bisa,aa,41
baat1238,Bariba,aa,31
dann1241,Dan,aa,48
dagb1246,Dagbani,aa,31
jola1263,Diola-Fogny,aa,29
doya1240,Doyayo,aa,48
toro1252,Toro So,aa,42
ejag1239,Ejagham,aa,32
ewee1241,Ewe,aa,42
ewon1239,Ewondo,aa,25
fefe1239,Fe'fe',aa,44
gaaa1244,Gã,aa,38
gbay1287,Gbeya Bossangoa,aa,45
haus1257,Hausa,aa,37
nucl1417,Igbo,aa,36
koyr1240,Koyra Chiini,aa,36
cent2050,Kanuri,aa,25
libe1247,Kpelle,aa,45
lugb1240,Lugbara,aa,39
luok1236,Luo,aa,38
came1252,Mambila,aa,40
murl1244,Murle,aa,34
sang1328,Sango,aa,43
swah1253,Swahili,aa,37
timn1235,Temne,aa,30
taro1263,Tarok,aa,37
nucl1347,Wolof,aa,54
yoru1245,Yoruba,aa,31.5
zand1248,Zande,aa,32
jurm1239,Jur Mödö,aa,49
baou1238,Baule,aa,37
sout2789,Dagaare,aa,54
ebir1243,Ebira,aa,31
pula1263,Fula (Senegal),aa,38
nort2775,Gbaya (Northwest),aa,53
gour1243,Gurma,aa,33
loko1255,Loko,aa,25
moss1236,Mooré,aa,43
emai1241,Emai,aa,48
park1239,Podoko,aa,35
tika1246,Tikar,aa,46
yemb1246,Yemba,aa,35
adio1239,Adioukrou,aa,31
anuf1239,Anufo,aa,43
bimo1239,Bimoba,aa,44
enge1239,Engenni,aa,33
adam1253,Fulfulde (Adamawa),aa,34
gude1246,Gude,aa,36
kiku1240,Kikuyu,aa,32
cerm1238,Kirma,aa,46
gbay1288,Kresh,aa,56
gand1255,Luganda,aa,33
lend1245,Lendu,aa,55
lele1276,Lele,aa,36
mang1394,Mangbetu,aa,47
mend1266,Mende,aa,34
mwag1236,Mupun,aa,37
ngam1268,Ngambay,aa,34
nupe1254,Nupe,aa,38
west2466,Tenyer,aa,45
tama1365,Tamashek,aa,43
bulu1251,Bulu,aa,36
west2500,Maninka (Western),aa,27
veng1238,Babungo,aa,82
pula1262,Fula (Guinean),aa,38
godi1239,Godié,aa,42
ling1263,Lingala,aa,22
rend1243,Rendille,aa,33
ajab1235,Ajagbe,aa,41
avok1242,Avokaya,aa,55
baka1272,Baka (in Cameroon),aa,38
basa1284,Basaá,aa,41
bini1246,Bini,aa,48
fonn1241,Fongbe,aa,42
mofu1248,Mofu-Gudur,aa,44
ntch1242,Ncàm,aa,30
ngba1285,Ngbaka (Minagende),aa,34
zarm1239,Zarma,aa,40
band1352,Bandi,aa,48
loma1260,Loma,aa,42
mund1327,Mundani,aa,41
soni1259,Soninke,aa,45.5
susu1250,Susu,aa,35
dual1243,Duala,aa,33
boko1266,Boko,aa,34
lako1244,Vata,aa,57
temm1241,Tem,aa,36
vagl1239,Vagla,aa,54
bafu1246,Bafut,aa,49
nort2784,Nuni (Northern),aa,54
dyul1238,Dyula,aa,39
kase1253,Kasem,aa,42.5
iged1239,Igede,aa,38
kabi1261,Kabiyé,aa,47
maka1304,Makaa,aa,55
wann1242,Wan,aa,36
waam1244,Waama,aa,41
lyel1241,Lyele,aa,44
nucl1683,Daba,aa,47
beng1286,Beng,aa,49
maas1239,Fulfulde (Maasina),aa,37
abid1235,Abidji,aa,39
chum1261,Chumburung,aa,30
nugu1242,Gunu,aa,26
konk1269,Konkomba,aa,42
mund1326,Mündü,aa,41
mamp1244,Mampruli,aa,32
nafa1258,Nafaanra,aa,44
weno1238,Wobe,aa,48
west2454,Ful (Liptako),aa,32
komc1235,Kom,aa,75
lamn1239,Lamnso',aa,45
east2426,Maninka,aa,36
yamb1251,Yamba,aa,38
abkh1244,Abkhaz,ea,66
gheg1238,Albanian,ea,43
atay1247,Atayal,ea,24
avar1256,Avar,ea,64
sout2697,Azerbaijani,ea,33
beng1280,Bengali,ea,47
bret1244,Breton,ea,66
brah1256,Brahui,ea,43
nucl1310,Burmese,ea,54
bash1264,Bashkir,ea,39
basq1248,Basque,ea,31
bulg1262,Bulgarian,ea,43
buru1296,Burushaski,ea,51.66666667
chuk1273,Chukchi,ea,20
yuec1235,Cantonese,ea,41
stan1289,Catalan,ea,34.66666667
daur1238,Dagur,ea,57
stan1293,English,ea,42
even1259,Evenki,ea,25
even1260,Even,ea,36
finn1318,Finnish,ea,23
stan1290,French,ea,34
mind1253,Fuzhou,ea,35
nucl1302,Georgian,ea,33
stan1295,German,ea,40
mode1248,Greek (Modern),ea,29
hakk1236,Hakka,ea,39
hebr1245,Hebrew (Modern Ashkenazic),ea,25
hind1269,Hindi,ea,55
hung1274,Hungarian,ea,39
ingu1240,Ingush,ea,69
iris1253,Irish (Donegal),ea,50.5
itel1242,Itelmen,ea,32
kaba1278,Kabardian,ea,56.33333333
kett1243,Ket,ea,25
kirg1245,Kirghiz,ea,37
cent1989,Khmer,ea,46
khar1287,Kharia,ea,39
nucl1305,Kannada,ea,44
kore1280,Korean,ea,38
cent1972,Kurdish (Central),ea,39
khan1273,Khanty,ea,29
komi1268,Komi-Zyrian,ea,37
lada1244,Ladakhi,ea,38
lahu1253,Lahu,ea,46
lakk1252,Lak,ea,68
lezg1247,Lezgian,ea,71.5
lith1251,Lithuanian,ea,54
luuu1242,Lü,ea,39
east2328,Mari (Meadow),ea,29.75
mand1415,Mandarin,ea,46
mund1320,Mundari,ea,28
ngan1291,Nganasan,ea,30
gily1242,Nivkh,ea,34
nene1249,Nenets,ea,34.33333333
paiw1248,Paiwan,ea,25
poli1260,Polish,ea,35
west2369,Persian,ea,29
cent1973,Pashto,ea,30.5
roma1327,Romanian,ea,51
roma1326,Romansch (Scharans),ea,46
russ1263,Russian,ea,42
sind1272,Sindhi,ea,60
shan1277,Shan,ea,32.5
selk1253,Selkup,ea,41
sora1254,Sora,ea,26
stan1288,Spanish,ea,35
suii1243,Sui,ea,61
taga1270,Tagalog,ea,26
east2347,Tamang (Eastern),ea,50
telu1262,Telugu,ea,44
tibe1272,Tibetan (Standard Spoken),ea,47.25
taus1251,Tausug,ea,23
bats1242,Tsova-Tush,ea,51
tulu1258,Tulu,ea,35
nucl1301,Turkish,ea,38
tuvi1240,Tuvan,ea,52
viet1252,Vietnamese,ea,37
sout2750,Yukaghir (Kolyma),ea,36
yaku1245,Yakut,ea,40
nort2745,Yukaghir (Tundra),ea,39
adyg1241,Adyghe (Abzakh),ea,59
alut1245,Alutor,ea,27
bona1250,Bao'an,ea,36
east2304,Baluchi,ea,54
chec1245,Chechen,ea,66.25
dolg1241,Dolgan,ea,42
gaga1249,Gagauz,ea,46
ghod1238,Godoberi,ea,66
guja1252,Gujarati,ea,58
sheh1240,Jibbali,ea,38
khak1248,Khakas,ea,39
kalm1243,Kalmyk,ea,39
kara1467,Karakalpak,ea,38
kara1464,Karaim,ea,37
kara1474,Karata,ea,54.5
puoc1238,Ksingmul,ea,38
kumy1244,Kumyk,ea,31
mehr1241,Mehri,ea,45
malt1254,Maltese,ea,35
mans1258,Mansi,ea,31
chal1275,Neo-Aramaic (Amadiya),ea,45
saek1240,Saek,ea,44
sala1264,Salar,ea,43
dong1285,Santa,ea,34
turk1304,Turkmen,ea,37
temi1246,Temiar,ea,49
stod1241,Tod,ea,41
kara1462,Tofa,ea,67
dido1241,Tsez,ea,42
tata1255,Tatar,ea,43
udih1248,Udihe,ea,40
uigh1240,Uyghur,ea,43
wayu1241,Hayu,ea,54
bhoj1244,Bhojpuri,ea,51
basq1250,Basque (Souletin),ea,43
cebu1242,Cebuano,ea,19
czec1258,Czech,ea,40
dani1285,Danish,ea,26
dutc1256,Dutch,ea,43
esto1258,Estonian,ea,26
faro1244,Faroese,ea,36
scot1245,Gaelic (Scots),ea,82
icel1247,Icelandic,ea,45
ital1282,Italian,ea,30
komi1269,Komi-Permyak,ea,37
kare1335,Karelian,ea,30
livv1244,Liv,ea,31
west2392,Mari (Hill),ea,33.5
mait1250,Maithili,ea,51
mace1250,Macedonian,ea,32
moks1248,Mordvin (Moksha),ea,40.5
mala1464,Malayalam,ea,53
occi1239,Occitan,ea,58
port1283,Portuguese,ea,41
slov1268,Slovene,ea,35
camp1261,Sardinian,ea,58
slov1269,Slovak,ea,45
swed1254,Swedish,ea,35
taji1245,Tajik,ea,29
voti1245,Votic,ea,55
wels1247,Welsh,ea,48
akha1245,Akha,ea,57
assa1263,Assamese,ea,36
bett1235,Betta Kurumba,ea,37
balt1258,Balti,ea,40
doma1258,Domari,ea,45
darm1243,Darma,ea,34
guru1261,Gurung,ea,49
hooo1248,Ho,ea,35
kork1243,Korku,ea,41
kama1351,Kamass,ea,37
kuvi1243,Kuvi,ea,37
laoo1244,Lao,ea,36
erzy1239,Mordvin (Erzya),ea,35
narp1239,Nar-Phu,ea,49
panj1256,Panjabi,ea,44
puri1258,Purki,ea,37
rawa1265,Rawang,ea,34
bond1245,Remo,ea,42
sikk1242,Sikkimese,ea,65
sant1410,Santali,ea,57
tsha1245,Tshangla,ea,39
tami1289,Tamil,ea,36
udmu1245,Udmurt,ea,35.5
ukra1253,Ukrainian,ea,41
urdu1245,Urdu,ea,58
wakh1245,Wakhi,ea,50
dhim1246,Dhimal,ea,53
ilok1237,Ilocano,ea,25
pamp1243,Kapampangan,ea,22
dupa1235,Agta (Dupaningan),ea,21
chan1310,Chantyal,ea,48
kyer1238,Kyirong,ea,63
kham1282,Kham (Dege),ea,77.125
maga1260,Magahi,ea,50
east2337,Shira Yughur,ea,42
thak1245,Thakali,ea,29
dhiv1236,Dhivehi,ea,39
lazz1240,Laz,ea,36.8
kild1236,Saami (Kildin),ea,128
nauk1242,Yupik (Naukan),ea,22
juan1238,Juang,ea,37
nort2641,Kurmanji,ea,38
west2354,Frisian (Western),ea,51
vlax1238,Romani (Kalderash),ea,34
lisu1250,Lisu,ea,42
lowe1385,Sorbian (Lower),ea,42
gali1258,Galician,ea,30
ladi1251,Ladino,ea,25
uppe1395,Sorbian (Upper),ea,42
veps1250,Veps,ea,44
andi1255,Andi,ea,68
swis1247,German (Appenzell),ea,55
east2295,Yiddish (Bessarabian),ea,37
yagn1238,Yaghnobi,ea,36
lowa1242,Baragaunle,ea,42.5
besi1244,Mah Meri,ea,58
sher1255,Sherpa,ea,48.5
svan1243,Svan,ea,47
pott1240,Gadaba (Kondekor),ea,39
amdo1237,Amdo,ea,55.33333333
ming1252,Mingrelian,ea,36
acha1249,Achang,ea,59
mana1288,Manange,ea,41
sich1238,Nuosu,ea,74
bodo1267,Gutob,ea,36
astu1245,Asturian,ea,26.5
luxe1241,Luxemburgeois,ea,48
ligu1248,Italian (Genoa),ea,45
alaw1244,Alawa,er,26
east2379,Arrernte (Mparntwe),er,44
bard1255,Bardi,er,24
bura1267,Burarra,er,26
dier1241,Diyari,er,24.5
dyir1250,Dyirbal,er,16
goon1238,Gooniyandi,er,23
gara1269,Garrwa,er,17
kaya1319,Kayardild,er,23.5
kalk1246,Kalkatungu,er,26
kala1377,Kala Lagaw Ya,er,24
kuku1273,Kuku-Yalanji,er,16
maun1240,Maung,er,22
mbab1239,Mbabaram,er,27
mull1237,Malakmalak,er,19
mart1255,Martuthunira,er,26
mang1381,Mangarrayi,er,22
nung1290,Nunggubuyu,er,25
pitj1243,Pitjantjatjara,er,23
tiwi1244,Tiwi,er,22
ngar1284,Ungarinjin,er,22
wamb1258,Wambaya,er,23
wikm1247,Wik Munkan,er,26
ward1246,Wardaman,er,22
wara1290,Waray (in Australia),er,21
yidi1250,Yidiny,er,19
yany1243,Yanyuwa,er,24
wang1291,Ngiyambaa,er,21
ngaa1240,Ngaanyatjarra,er,23
leni1238,Anguthimri,er,29
alya1239,Alyawarra,er,43
west2441,Arrernte (Western),er,44
badi1246,Badimaya,er,23
bang1339,Banggarla,er,23
dhur1239,Dhurga,er,25
thur1254,Dharawal,er,25
djin1251,Djingili,er,20
jaru1254,Djaru,er,23
dhan1270,Gaalpu,er,26
koka1244,Gugada,er,23
gugu1255,Guugu Yimidhirr,er,23
kuuk1238,Kuuku Ya'u,er,21
lara1258,Laragia,er,24
lamu1254,Lamu-Lamu,er,29
west2443,Madimadi,er,21
marg1253,Margany,er,31
muru1266,Muruwari,er,25
ngal1293,Ngalakan,er,27
narr1259,Ngarinyeri,er,25
nyun1247,Nyungar,er,22
ngal1292,Ngalkbun,er,29
nyaw1247,Nyawaygi,er,18
pint1250,Pintupi,er,23
darl1243,Paakantyi,er,26
pitt1247,Pitta Pitta,er,26
rita1239,Ritharngu,er,31
thay1248,Thaypan,er,31
atam1239,Uradhi,er,24
walm1241,Walmatjari,er,23
warr1255,Warrgamay,er,19
warl1254,Warlpiri,er,24
yind1247,Yindjibarndi,er,25.5
gami1243,Yuwaalaraay,er,21
mari1424,Marrithiyel,er,24
naka1260,Nakkara,er,25
nyig1240,Nyigina,er,20
wand1263,Warndarang,er,20
yank1247,Yankuntjatjara,er,23
arab1267,Arabana,er,24
adny1235,Adynyamathanha,er,27
anin1240,Anindilyakwa,er,26
wadj1254,Bachamal,er,22
biri1256,Biri,er,18
ngar1235,Bilinarra,er,23
bula1255,Bularnu,er,32
dhar1247,Dhargari,er,31
dyaa1242,Djabugay,er,19
djam1256,Djambarrpuyngu,er,31
djin1253,Djinang,er,25
