Source,Target,Value
"abip1241","1A","2"
"abip1241","2A","2"
"abip1241","3A","3"
"abip1241","4A","1"
"abip1241","5A","1"
"abip1241","6A","4"
"abip1241","7A","1"
"abip1241","8A","2"
"abip1241","9A","3"
"abip1241","10A","2"
"abip1241","11A","1"
"abip1241","12A","3"
"abip1241","18A","1"
"abip1241","19A","1"
"abip1241","20A","1"
"abip1241","21A","5"
"abip1241","21B","1"
"abip1241","26A","2"
"abip1241","28A","1"
"abip1241","29A","2"
"abip1241","33A","2"
"abip1241","35A","4"
"abip1241","39A","3"
"abip1241","40A","2"
"abip1241","44A","6"
"abip1241","48A","2"
"abip1241","49A","1"
"abip1241","50A","1"
"abip1241","51A","9"
"abip1241","57A","3"
"abip1241","65A","2"
"abip1241","66A","4"
"abip1241","67A","2"
"abip1241","68A","4"
"abip1241","69A","2"
"abip1241","77A","1"
"abip1241","78A","1"
"abip1241","81A","2"
"abip1241","82A","1"
"abip1241","83A","2"
"abip1241","84A","1"
"abip1241","85A","2"
"abip1241","86A","3"
"abip1241","87A","3"
"abip1241","88A","1"
"abip1241","90A","1"
"abip1241","90C","1"
"abip1241","91A","1"
"abip1241","93A","1"
"abip1241","94A","1"
"abip1241","95A","4"
"abip1241","96A","4"
"abip1241","97A","5"
"abip1241","98A","1"
"abip1241","99A","1"
"abip1241","100A","2"
"abip1241","102A","5"
"abip1241","103A","3"
"abip1241","104A","2"
"abip1241","107A","2"
"abip1241","111A","2"
"abip1241","112A","2"
"abip1241","113A","3"
"abip1241","114A","3"
"abip1241","121A","3"
"abip1241","129A","2"
"abip1241","130A","2"
"abip1241","143A","1"
"abip1241","143E","1"
"abip1241","143F","4"
"abip1241","143G","4"
"abip1241","144A","21"
"abip1241","144D","11"
"abip1241","144J","7"
"abip1241","144K","4"
"abkh1244","1A","5"
"abkh1244","2A","1"
"abkh1244","3A","5"
"abkh1244","4A","4"
"abkh1244","5A","2"
"abkh1244","6A","2"
"abkh1244","7A","2"
"abkh1244","8A","2"
"abkh1244","9A","3"
"abkh1244","10A","2"
"abkh1244","11A","1"
"abkh1244","12A","3"
"abkh1244","13A","1"
"abkh1244","14A","1"
"abkh1244","15A","7"
"abkh1244","16A","6"
"abkh1244","18A","1"
"abkh1244","19A","4"
"abkh1244","20A","1"
"abkh1244","21A","5"
"abkh1244","21B","1"
"abkh1244","22A","6"
"abkh1244","23A","1"
"abkh1244","24A","1"
"abkh1244","25A","1"
"abkh1244","25B","2"
"abkh1244","26A","4"
"abkh1244","27A","1"
"abkh1244","28A","1"
"abkh1244","29A","3"
"abkh1244","30A","3"
"abkh1244","31A","2"
"abkh1244","32A","2"
"abkh1244","33A","2"
"abkh1244","34A","6"
"abkh1244","35A","4"
"abkh1244","36A","2"
"abkh1244","37A","1"
"abkh1244","38A","2"
"abkh1244","39A","5"
"abkh1244","40A","3"
"abkh1244","41A","2"
"abkh1244","42A","1"
"abkh1244","44A","1"
"abkh1244","46A","3"
"abkh1244","47A","2"
"abkh1244","48A","4"
"abkh1244","49A","2"
"abkh1244","50A","2"
"abkh1244","51A","9"
"abkh1244","52A","2"
"abkh1244","53A","5"
"abkh1244","54A","7"
"abkh1244","55A","1"
"abkh1244","57A","1"
"abkh1244","58A","2"
"abkh1244","58B","1"
"abkh1244","59A","1"
"abkh1244","60A","6"
"abkh1244","61A","2"
"abkh1244","62A","3"
"abkh1244","63A","1"
"abkh1244","64A","1"
"abkh1244","65A","1"
"abkh1244","66A","1"
"abkh1244","67A","1"
"abkh1244","68A","3"
"abkh1244","69A","2"
"abkh1244","70A","1"
"abkh1244","71A","3"
"abkh1244","72A","4"
"abkh1244","73A","1"
"abkh1244","74A","2"
"abkh1244","75A","1"
"abkh1244","76A","2"
"abkh1244","77A","2"
"abkh1244","78A","2"
"abkh1244","79A","1"
"abkh1244","79B","5"
"abkh1244","80A","1"
"abkh1244","81A","1"
"abkh1244","82A","1"
"abkh1244","83A","1"
"abkh1244","84A","3"
"abkh1244","85A","1"
"abkh1244","86A","1"
"abkh1244","87A","2"
"abkh1244","88A","1"
"abkh1244","89A","3"
"abkh1244","90A","2"
"abkh1244","90B","1"
"abkh1244","91A","1"
"abkh1244","92A","6"
"abkh1244","93A","2"
"abkh1244","94A","4"
"abkh1244","95A","1"
"abkh1244","96A","1"
"abkh1244","97A","2"
"abkh1244","98A","1"
"abkh1244","99A","1"
"abkh1244","100A","3"
"abkh1244","101A","2"
"abkh1244","102A","5"
"abkh1244","103A","2"
"abkh1244","104A","3"
"abkh1244","105A","1"
"abkh1244","106A","2"
"abkh1244","107A","2"
"abkh1244","108A","3"
"abkh1244","108B","4"
"abkh1244","109A","4"
"abkh1244","109B","1"
"abkh1244","110A","2"
"abkh1244","111A","2"
"abkh1244","112A","1"
"abkh1244","113A","3"
"abkh1244","114A","3"
"abkh1244","115A","1"
"abkh1244","116A","2"
"abkh1244","117A","5"
"abkh1244","118A","1"
"abkh1244","119A","1"
"abkh1244","120A","1"
"abkh1244","122A","4"
"abkh1244","123A","4"
"abkh1244","124A","2"
"abkh1244","125A","2"
"abkh1244","126A","3"
"abkh1244","127A","3"
"abkh1244","128A","2"
"abkh1244","129A","2"
"abkh1244","130A","2"
"abkh1244","131A","2"
"abkh1244","136A","1"
"abkh1244","136B","1"
"abkh1244","137A","1"
"abkh1244","137B","2"
"abkh1244","143A","11"
"abkh1244","143E","2"
"abkh1244","143F","2"
"abkh1244","143G","4"
"abkh1244","144A","20"
