Name,glottocode,Genus,Family,Latitude,Longitude
"Abipón","abip1241","South Guaicuruan","Guaicuruan",-29.0,-61.0
"Abkhaz","abkh1244","Northwest Caucasian","Northwest Caucasian",43.0833333333,41.0
"Alabama","alab1237","Muskogean","Muskogean",32.3333333333,-87.4166666667
"Aché","ache1246","Tupi-Guaraní","Tupian",-25.25,-55.1666666667
"Achumawi","achu1247","Palaihnihan","Hokan",41.5,-121.0
"Acoma","west2632","Keresan","Keresan",34.9166666667,-107.583333333
"Andoke","ando1256","Andoke","Andoke",-0.666666666667,-72.0
"Adzera","adze1240","Oceanic","Austronesian",-6.25,146.25
"Aleut (Eastern)","aleu1260","Aleut","Eskimo-Aleut",54.75,-164.0
"Arabic (Egyptian)","egyp1253","Semitic","Afro-Asiatic",30.0,31.0
"Aghem","aghe1239","Bantoid","Niger-Congo",6.66666666667,10.0
"Ahtna","ahte1237","Athapaskan","Na-Dene",62.0,-145.0
"Aikaná","aika1237","Aikaná","Aikaná",-12.6666666667,-60.6666666667
"Ainu","ainu1240","Ainu","Ainu",43.0,143.0
"Aizi","apro1235","Kru","Niger-Congo",5.25,-4.5
"Akan","akan1250","Kwa","Niger-Congo",6.5,-1.25
"Akawaio","akaw1239","Cariban","Cariban",6.0,-59.5
"Alamblak","alam1246","Sepik Hill","Sepik",-4.66666666667,143.333333333
"Albanian","gheg1238","Albanian","Indo-European",41.0,20.0
"Alladian","alla1248","Kwa","Niger-Congo",5.16666666667,-4.33333333333
"Alawa","alaw1244","Alawa","Mangarrayi-Maran",-15.1666666667,134.25
"Amahuaca","amah1246","Panoan","Panoan",-10.5,-72.5
"Amele","amel1241","Madang","Trans-New Guinea",-5.25,145.583333333
"Amharic","amha1245","Semitic","Afro-Asiatic",10.0,38.0
"Amo","amoo1242","Kainji","Niger-Congo",10.3333333333,8.66666666667
"Arrernte (Mparntwe)","east2379","Central Pama-Nyungan","Pama-Nyungan",-24.0,136.0
"Amuesha","yane1238","Yanesha'","Arawakan",-10.5,-75.4166666667
"Amuzgo","guer1243","Amuzgoan","Oto-Manguean",16.8333333333,-98.0
"Araona","arao1248","Tacanan","Tacanan",-12.3333333333,-67.75
"Angas","ngas1240","West Chadic","Afro-Asiatic",9.5,9.5
"//Ani","anii1246","Khoe-Kwadi","Khoe-Kwadi",-18.9166666667,21.9166666667
"Angaataha","anga1290","Angan","Trans-New Guinea",-7.21666666667,146.25
"Ao","aona1235","Kuki-Chin","Sino-Tibetan",26.5833333333,94.6666666667
"Apinayé","apin1244","Ge-Kaingang","Macro-Ge",-5.5,-48.0
"Apurinã","apur1254","Purus","Arawakan",-9.0,-67.0
"Arabela","arab1268","Zaparoan","Zaparoan",-2.0,-75.1666666667
"Archi","arch1244","Lezgic","Nakh-Daghestanian",42.0,46.8333333333
"Armenian (Eastern)","nucl1235","Armenian","Indo-European",40.0,45.0
"Arapesh (Mountain)","buki1249","Kombio-Arapesh","Torricelli",-3.46666666667,143.166666667
"Asmat","tamn1235","Asmat-Kamoro","Trans-New Guinea",-5.5,138.5
"Atayal","atay1247","Atayalic","Austronesian",24.5,121.333333333
"Avar","avar1256","Avar-Andic-Tsezic","Nakh-Daghestanian",42.5,46.5
"Awngi","awng1244","Central Cushitic","Afro-Asiatic",10.8333333333,36.6666666667
"Awa Pit","awac1239","Barbacoan","Barbacoan",1.5,-78.25
"Aymara (Central)","cent2142","Aymaran","Aymaran",-17.0,-69.0
"Azerbaijani","sout2697","Turkic","Altaic",40.5,48.5
"Bagirmi","bagi1246","Bongo-Bagirmi","Central Sudanic",11.6666666667,16.0
"Bai","cent2004","Bai","Sino-Tibetan",26.0,100.0
"Bajau (Sama)","indo1317","Sama-Bajaw","Austronesian",-4.33333333333,123.0
"Bambara","bamb1269","Western Mande","Mande",12.5,-7.5
"Bawm","bawm1236","Kuki-Chin","Sino-Tibetan",22.5,92.25
"Bobo Madaré (Northern)","sout2840","Western Mande","Mande",12.4166666666667,-4.3333333333333
"Bella Coola","bell1243","Bella Coola","Salishan",52.5,-126.666666667
"Beembe","beem1239","Bantoid","Niger-Congo",-3.91666666667,14.0833333333
"Beja","beja1238","Beja","Afro-Asiatic",18.0,36.0
"Bengali","beng1280","Indic","Indo-European",24.0,90.0
"Berta","bert1248","Berta","Berta",10.3333333333,34.6666666667
"Bété","dalo1238","Kru","Niger-Congo",6.25,-6.25
"Birom","bero1242","Platoid","Niger-Congo",9.66666666667,8.83333333333
"Bisa","biss1248","Eastern Mande","Mande",11.5,-0.5
"Bakairí","baka1277","Cariban","Cariban",-14.0,-55.0
"Batak (Karo)","bata1293","Northwest Sumatra-Barrier Islands","Austronesian",3.25,98.25
"Berber (Middle Atlas)","cent2194","Berber","Afro-Asiatic",33.0,-5.0
"Qaget","qaqe1238","Baining","Baining",-4.58333333333,152.0
"Waimaha","waim1255","Tucanoan","Tucanoan",0.333333333333,-70.25
"Bodo","bodo1269","Bodo-Garo","Sino-Tibetan",26.8333333333,92.0
"Brao","lave1249","Bahnaric","Austro-Asiatic",14.1666666667,107.5
"Bariba","baat1238","Southern-Central Gur","Niger-Congo",10.0,2.5
"Bardi","bard1255","Nyulnyulan","Nyulnyulan",-16.5833333333,122.916666667
"Breton","bret1244","Celtic","Indo-European",48.0,-3.0
"Brahui","brah1256","Northern Dravidian","Dravidian",28.5,67.0
"Bribri","brib1243","Talamanca","Chibchan",9.41666666667,-83.0
"Burmese","nucl1310","Burmese-Lolo","Sino-Tibetan",21.0,96.0
"Bororo","boro1282","Bororoan","Bororoan",-16.0,-57.0
"Bru (Western)","west2397","Katuic","Austro-Asiatic",16.75,104.75
"Bashkir","bash1264","Turkic","Altaic",53.0,58.0
"Basque","basq1248","Basque","Basque",43.0,-3.0
"Batak (Toba)","bata1289","Northwest Sumatra-Barrier Islands","Austronesian",2.5,99.0
"Burarra","bura1267","Burarran","Mangrida",-12.25,134.583333333
"Bulgarian","bulg1262","Slavic","Indo-European",42.5,25.0
"Burushaski","buru1296","Burushaski","Burushaski",36.5,74.5
"Cacua","cacu1241","Cacua-Nukak","Cacua-Nukak",1.08333333333,-70.0
"Caddo","cadd1256","Caddoan","Caddoan",33.3333333333,-93.5
"Cahuilla","cahu1264","California Uto-Aztecan","Uto-Aztecan",33.5,-116.25
"Camsá","cams1241","Camsá","Camsá",1.16666666667,-77.0
"Carib","gali1262","Cariban","Cariban",5.5,-56.0
"Campa (Axininca)","asha1243","Pre-Andine Arawakan","Arawakan",-12.0,-74.0
"Cayapa","chac1249","Barbacoan","Barbacoan",0.666666666667,-79.0
"Chickasaw","chic1270","Muskogean","Muskogean",34.0,-88.0
"Cocopa","coco1261","Yuman","Hokan",32.3333333333,-115.0
"Chamorro","cham1312","Chamorro","Austronesian",13.45,144.75
"Cherokee","cher1273","Southern Iroquoian","Iroquoian",35.5,-83.5
"Chukchi","chuk1273","Northern Chukotko-Kamchatkan","Chukotko-Kamchatkan",67.0,-173.0
"Chehalis (Upper)","uppe1439","Tsamosan","Salishan",46.5833333333,-123.0
"Chipewyan","chip1261","Athapaskan","Na-Dene",59.0,-106.0
"Chinantec (Quiotepec)","quio1240","Chinantecan","Oto-Manguean",17.5833333333,-96.6666666667
"Nivacle","niva1238","Matacoan","Matacoan",-23.5,-60.5
"Chuvash","chuv1255","Turkic","Altaic",55.5,47.5
"Cham (Western)","west2650","Malayo-Sumbawan","Austronesian",12.0,105.5
"CiLuba","luba1249","Bantoid","Niger-Congo",-6.0,22.0
"Chinantec (Lealao)","leal1235","Chinantecan","Oto-Manguean",17.3333333333,-95.9166666667
"Comanche","coma1245","Numic","Uto-Aztecan",33.5,-101.5
"Canela","cane1242","Ge-Kaingang","Macro-Ge",-7.0,-45.0
"Cantonese","yuec1235","Chinese","Sino-Tibetan",23.0,113.0
"Cofán","cofa1242","Cofán","Cofán",0.166666666667,-77.1666666667
"Coos (Hanis)","coos1249","Coosan","Oregon Coast",43.5,-124.166666667
"Cree (Plains)","plai1258","Algonquian","Algic",54.0,-110.0
"Chatino (Sierra Occidental)","west2644","Zapotecan","Oto-Manguean",16.25,-97.3333333333
