Name,ISO,Genus,Family,Macroarea,Latitude,Longitude,Countries
!X��,nmn,Tu,Tu,Africa,-24,21.5,Botswana
!Xun (Ekoka),knw,Ju-Kung,Kxa,Africa,-19.67,18,Angola
Aari,aiw,South Omotic,Afro-Asiatic,Africa,6,36.58,Ethiopia
Abau,aau,Upper Sepik,Sepik,Papunesia,-4,141.25,Papua New Guinea
Abidji,abi,Kwa,Niger-Congo,Africa,5.67,-4.58,C�te d'Ivoire
Abip�n,axb,South Guaicuruan,Guaicuruan,South America,-29,-61,Argentina
Abkhaz,abk,Northwest Caucasian,Northwest Caucasian,Eurasia,43.08,41,Georgia
Acehnese,ace,Malayo-Sumbawan,Austronesian,Eurasia,5.5,95.5,Indonesia
Achagua,aca,Inland Northern Arawakan,Arawakan,South America,4.42,-72.25,Colombia
Achang,acn,Burmese-Lolo,Sino-Tibetan,Eurasia,25,98.5,China
Ach�,guq,Tupi-Guaran�,Tupian,South America,-25.25,-55.17,Paraguay
Acholi,ach,Nilotic,Eastern Sudanic,Africa,3,32.67,Uganda
Achuar,acu,Jivaroan,Jivaroan,South America,-2.67,-76,Peru
Achumawi,acv,Palaihnihan,Hokan,North America,41.5,-121,United States
Acoma,kjq,Keresan,Keresan,North America,34.92,-107.58,United States
Adang,adn,Greater Alor,Timor-Alor-Pantar,Papunesia,-8.2,124,Indonesia
Adioukrou,adj,Kwa,Niger-Congo,Africa,5.42,-4.58,C�te d'Ivoire
Adyghe (Abzakh),ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.23,40.58,Russia
Adyghe (Shapsugh),ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45,38.75,Russia
Adyghe (Temirgoy),ady,Northwest Caucasian,Northwest Caucasian,Eurasia,45.22,39.7,Russia
Adynyamathanha,adt,Central Pama-Nyungan,Pama-Nyungan,Australia,-30.5,139.5,Australia
Adzera,adz,Oceanic,Austronesian,Papunesia,-6.25,146.25,Papua New Guinea
Afrikaans,afr,Germanic,Indo-European,Africa,-31,22,South Africa
Aghem,agq,Bantoid,Niger-Congo,Africa,6.67,10,Cameroon
Agta (Dupaningan),duo,Greater Central Philippine,Austronesian,Papunesia,18,122.08,Philippines
Aguaruna,agr,Jivaroan,Jivaroan,South America,-5,-78,Peru
Ahtna,aht,Athapaskan,Na-Dene,North America,62,-145,United States
Aikan�,tba,Aikan�,Aikan�,South America,-12.67,-60.67,Brazil
Ainu,ain,Ainu,Ainu,Eurasia,43,143,Japan
Aizi,ahp,Kru,Niger-Congo,Africa,5.25,-4.5,C�te d'Ivoire
Aja,aja,Kresh,Central Sudanic,Africa,7.33,25.67,Central African Republic
Ajagbe,ajg,Kwa,Niger-Congo,Africa,7,1.75,Benin
Akan,aka,Kwa,Niger-Congo,Africa,6.5,-1.25,Ghana
Akawaio,ake,Cariban,Cariban,South America,6,-59.5,Guyana
Akha,ahk,Burmese-Lolo,Sino-Tibetan,Eurasia,21.83,99.83,China
Aklanon,akl,Greater Central Philippine,Austronesian,Papunesia,11.58,122.33,Philippines
Alabama,akz,Muskogean,Muskogean,North America,32.33,-87.42,United States
Alamblak,amp,Sepik Hill,Sepik,Papunesia,-4.67,143.33,Papua New Guinea
Alawa,alh,Alawa,Mangarrayi-Maran,Australia,-15.17,134.25,Australia
Aleut,ale,Aleut,Eskimo-Aleut,North America,54,-166,United States
Aleut (Eastern),ale,Aleut,Eskimo-Aleut,North America,54.75,-164,United States
Alladian,ald,Kwa,Niger-Congo,Africa,5.17,-4.33,C�te d'Ivoire
Alsatian,gsw,Germanic,Indo-European,Eurasia,48.5,7.5,France
Alutor,alr,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,61,165,Russia
Alyawarra,aly,Central Pama-Nyungan,Pama-Nyungan,Australia,-22.5,135,Australia
Amahuaca,amc,Panoan,Panoan,South America,-10.5,-72.5,Brazil
Amanab,amn,Border,Border,Papunesia,-3.58,141.25,Papua New Guinea
Amarakaeri,amr,Harakmbet,Harakmbet,South America,-12.5,-70.5,Peru
Ambulas,abt,Ndu,Sepik,Papunesia,-3.83,143,Papua New Guinea
Amdo,adx,Bodic,Sino-Tibetan,Eurasia,35,100,China
