ISO6393,Phoneme
kor,h
kor,j
kor,k
kor,kʰ
kor,kˀ
kor,l
kor,m
kor,n
kor,p
kor,pʰ
kor,pˀ
kor,s
kor,sˀ
kor,t
kor,tʰ
kor,tˀ
kor,t̠ʃ
kor,t̠ʃʰ
kor,t̠ʃˀ
kor,w
kor,ŋ
kor,ʔ
kor,a
kor,aː
kor,e
kor,eː
kor,i
kor,iː
kor,o
kor,oː
kor,u
kor,uː
kor,y
kor,æ
kor,æː
kor,ø
kor,ɤ
kor,ɤː
kor,ɯ
kor,ɯː
ket,b
ket,d
ket,dʲ
ket,h
ket,k̟
ket,lʲ
ket,lˠ
ket,m
ket,n
ket,nʲ
ket,q
ket,s
ket,sʲ
ket,t
ket,tʲ
ket,ŋ
ket,ʔ
ket,ʝ
ket,a
ket,aː
ket,i
ket,iː
ket,uː
ket,æ
ket,æː
ket,ɔ
ket,ɔː
ket,ɨ
ket,ɨː
ket,ɵ̞
ket,ɵ̞ː
ket,ʊ
lbe,b
lbe,d
lbe,h
lbe,j
lbe,kʰ
lbe,kʷʰ
lbe,kʷʼ
lbe,kʼ
lbe,k͈
lbe,k͈ʷ
lbe,l
lbe,m
lbe,n
lbe,pʰ
lbe,pʼ
lbe,p͈
lbe,qʰ
lbe,qʷʰ
lbe,qʷʼ
lbe,qʼ
lbe,q͈
lbe,q͈ʷ
lbe,r
lbe,s
lbe,s͈
lbe,tsʰ
lbe,tsʷʰ
lbe,tsʷʼ
lbe,tsʼ
lbe,tʰ
lbe,tʼ
lbe,t̠ʃʰ
lbe,t̠ʃʷʰ
lbe,t̠ʃʷʼ
lbe,t̠ʃʼ
lbe,t̠͈ʃ
lbe,t̠͈ʃʷ
lbe,t͈
lbe,t͈s
lbe,t͈sʷ
lbe,w
lbe,x
lbe,xʷ
lbe,x͈
lbe,x͈ʷ
lbe,z
lbe,ħ
lbe,ɡ
lbe,ɢ
lbe,ɢʷ
lbe,ʃ
lbe,ʃʷ
lbe,ʃ͈
lbe,ʃ͈ʷ
lbe,ʒ
lbe,ʔ
lbe,χ
lbe,χʷ
lbe,χ͈
lbe,χ͈ʷ
lbe,a
lbe,aː
lbe,e̞ˤ
lbe,i
lbe,iː
lbe,u
lbe,uː
lbe,æˤ
lbe,ø̞ˤ
kbd,b
kbd,d̻
kbd,d̻z̻
kbd,f
kbd,fʼ
kbd,j
kbd,kʷʰ
kbd,kʷʼ
kbd,k̟ʲʰ
kbd,k̟ʲʼ
kbd,m
kbd,n̻
kbd,pʰ
kbd,pʼ
kbd,qχ
kbd,qχʷ
kbd,qχʷʼ
kbd,qχʼ
kbd,r
kbd,s̻
kbd,t̻s̻
kbd,t̻s̻ʼ
kbd,t̻ʰ
kbd,t̻ʼ
kbd,v
kbd,w
kbd,xʷ
kbd,x̟ʲ
kbd,z̻
kbd,ç̟
kbd,ħ
kbd,ɡʷ
kbd,ɡ̟ʲ
kbd,ɣ̟ʲ
kbd,ɦ
kbd,ɬʲ
kbd,ɬʲʼ
kbd,ɮʲ
kbd,ʁ
kbd,ʁʷ
kbd,ʃ
kbd,ʃʼ
kbd,ʒ
kbd,ʔ
kbd,ʔʷ
kbd,ʕ
kbd,ʝ̟
kbd,χ
kbd,χʷ
kbd,a̟ː
kbd,e̞ː
kbd,iː
kbd,o̞ː
kbd,uː
kbd,ɜ
kbd,ɨ
kat,h
kat,j
kat,k
kat,kʰ
kat,kʼ
kat,lˠ
kat,m
kat,n
kat,p
kat,pʰ
kat,pʼ
kat,qʼ
kat,r
kat,s
kat,t
kat,ts
kat,tsʰ
kat,tsʼ
kat,tʰ
kat,tʼ
kat,t̠ʃ
kat,t̠ʃʰ
kat,t̠ʃʼ
kat,z
kat,ʁ
kat,ʃ
kat,ʒ
kat,β
kat,χ
kat,a̟
kat,e̞
kat,o̞
kat,ə̆
kat,ɪ
kat,ʊ
bsk,b
bsk,d
bsk,d̠ʒ
bsk,f
bsk,h
bsk,j
bsk,k
bsk,kʰ
bsk,l
bsk,m
bsk,n
bsk,p
bsk,pʰ
bsk,q
bsk,qʰ
bsk,r
bsk,s
bsk,t
bsk,ts
bsk,tsʰ
bsk,tʰ
bsk,t̠ʃ
bsk,t̠ʃʰ
bsk,w
bsk,z
bsk,ŋ
bsk,ɖ
bsk,ɖʐ
bsk,ɡ
bsk,ʁ
bsk,ʂ
bsk,ʃ
bsk,ʈ
bsk,ʈʂ
bsk,ʈʂʰ
bsk,ʈʰ
bsk,ʐ͇
bsk,χ
bsk,˥˦
bsk,˧
bsk,˩˨
bsk,a
bsk,aː
bsk,ãː
bsk,e̞
bsk,e̞ː
bsk,i
bsk,iː
bsk,o̞
bsk,o̞ː
bsk,u
bsk,uː
bsk,ũː
kru,b
kru,b̤
kru,d̠ʒ
kru,d̠ʒː
kru,d̠ʒ̤
kru,d̪
kru,d̪ː
kru,d̪̤
kru,h
kru,j
kru,jː
kru,k
kru,kʰ
kru,kː
kru,l
kru,lː
kru,m
kru,n̪
kru,p
kru,pʰ
kru,pː
kru,r
kru,rː
kru,r̠
kru,s̪
kru,s̪ː
kru,t̠ʃ
kru,t̠ʃʰ
kru,t̠ʃː
kru,t̪
kru,t̪ʰ
kru,t̪ː
kru,w
kru,wː
kru,ŋ
kru,ɖ
kru,ɖː
kru,ɖ̤
kru,ɡ
kru,ɡ̤
kru,ɳ
kru,ʈ
kru,ʈʰ
kru,ʈː
kru,ʔ
kru,χ
kru,a
kru,aː
kru,ã
kru,ãː
kru,e̞
kru,e̞ː
kru,ẽ̞
kru,ẽ̞ː
kru,i
kru,iː
kru,ĩ
kru,ĩː
kru,o̞
kru,o̞ː
kru,õ̞
kru,õ̞ː
kru,u
kru,uː
kru,ũ
kru,ũː
kru,ə
kru,əː
tel,b
tel,bː
tel,b̤
tel,d
tel,dz
tel,dzː
tel,dː
tel,d̤
tel,f
tel,j
tel,k
tel,kʰ
tel,kː
tel,l
tel,lː
tel,m
tel,mː
tel,n
tel,nː
tel,p
tel,pʰ
tel,pː
tel,rː
tel,s
tel,t
tel,ts
tel,tsː
tel,tː
tel,t̠ʃ
tel,ɖ
tel,ɖː
tel,ɖ̤
tel,ɡ
tel,ɡː
tel,ɡ̤
tel,ɦ
tel,ɭ
tel,ɭː
tel,ɳ
tel,ɾ
tel,ʂ
tel,ʃ
tel,ʈ
tel,ʈʰ
tel,ʈː
tel,β̞
tel,β̞ː
tel,aː
tel,e
tel,eː
tel,i
tel,iː
tel,o
tel,oː
tel,o̞
tel,u
tel,uː
tel,æː
tel,ɑ
tel,ɒː
tel,ɔː
tel,ə
tel,ɛ
tel,ɛː
tel,ɪ
tel,ɪː
tel,ʊ
tel,ʊː
kfe,b
kfe,d
kfe,d̠ʒ
kfe,d̪
kfe,j
kfe,kʰ
kfe,l
kfe,m
kfe,n
kfe,pʰ
kfe,r
kfe,tʰ
kfe,t̠ʃʰ
kfe,t̪ʰ
kfe,v
kfe,ŋ
kfe,ɖ
kfe,ɡ
kfe,ɭ
kfe,ɳ
kfe,ɽ
kfe,ʂ
kfe,ʈʰ
kfe,a
kfe,aː
kfe,e̞
kfe,e̞ː
kfe,i
kfe,iː
kfe,o̞
kfe,o̞ː
kfe,u
kfe,uː
kfe,ə
unr,b̤
unr,d̠ʒ̤
unr,d̤
unr,h
unr,j
unr,k
unr,kʰ
unr,l
unr,m
unr,n
unr,p
unr,pʰ
unr,r
unr,s
unr,t
unr,tʰ
unr,t̠ʃ
unr,t̠ʃʰ
unr,w
unr,ŋː
unr,ɖ̤
unr,ɡ̤
unr,ɭ
unr,ɳ
unr,ʈ
unr,ʈʰ
unr,ʔ
unr,ˀb
unr,ˀd
unr,ˀd̠ʒ
unr,ˀɖ
unr,ˀɡ
unr,a
unr,e̞
unr,o̞
unr,ɪ
unr,ʊ
khr,b
khr,b̤
khr,d
khr,d̠ʒ
khr,d̠ʒ̤
khr,d̤
khr,j
khr,k
khr,kʰ
khr,l
khr,m
khr,n
khr,p
khr,pʰ
khr,s
khr,t
khr,tʰ
khr,t̠ʃ
khr,t̠ʃʰ
khr,w
khr,ŋ
khr,ɖ
khr,ɖ̤
khr,ɡ
khr,ɡ̤
khr,ɦ
khr,ɲ
khr,ɽ
khr,ɾ
khr,ʈ
khr,ʈʰ
khr,a
khr,ã
khr,e
khr,i
khr,ĩ
khr,o
khr,õ
khr,u
khr,ũ
khr,ɛ̃
kha,b
kha,d
kha,d̠ʒ
kha,h
kha,k
kha,kʰ
kha,m
kha,n
kha,p
kha,pʰ
kha,r
kha,s
kha,t
kha,tʰ
kha,ŋ
kha,ɭ
kha,ɲ
kha,ʃ
kha,ʔ
kha,a
kha,aː
kha,e
kha,i
kha,o
kha,u
kha,ə
kha,ɪ̯
kha,ʊ̯
sed,h
sed,j
sed,k
sed,kʰ
sed,l
sed,l̥
sed,m
sed,mb
sed,m̥
sed,n
sed,nd
sed,n̠d̠ʒ
sed,n̥
sed,p
sed,pʰ
sed,r
sed,r̥
sed,s
sed,t
sed,tʰ
sed,t̠ʃ
sed,w
sed,ŋ
sed,ŋɡ
sed,ŋ̥
sed,ɲ
sed,ɲ̥
sed,ʃ
sed,ʍ
sed,ʔ
sed,ˀb
sed,ˀd
sed,ˀl
sed,ˀm
sed,ˀn
sed,ˀr
sed,ˀw
sed,ˀŋ
sed,ˀɲ
sed,a
sed,a̰
sed,e
sed,ḛ
sed,i
sed,ḭ
sed,o
sed,o̰
sed,u
sed,ṵ
sed,ɔ
sed,ɔ̰
sed,ɛ
sed,ɛ̰
khm,h
khm,j
khm,k
khm,kʰ
khm,lˠ
khm,m
khm,n
khm,p
khm,pʰ
khm,s
khm,t
khm,tʰ
khm,t̠ʃ
khm,t̠ʃʰ
khm,ŋ
khm,ɓ
khm,ɗ
khm,ɲ
khm,ɽ
khm,ʋ
khm,ʔ
khm,a̟
khm,a̟̙ː
khm,ei̙
khm,e̘ː
khm,iː
khm,ou̙
khm,o̘ː
khm,uː
khm,ɒ
khm,ɒː
khm,ɔ
khm,ɔ̘ː
khm,ə
khm,əɨ̙
khm,ə̘ː
khm,ɛ
khm,ɛ̘ː
khm,ɨː
khm,ɪ
khm,ɪ̈
khm,ʊ
vie,c
vie,f
vie,h
vie,j
vie,k
vie,l
vie,m
vie,n
vie,s
vie,t
vie,tʰ
vie,v
vie,w
vie,x
vie,z
vie,ŋ
vie,ɓ
vie,ɗ
vie,ɣ
vie,ɲ
vie,ʔ
vie,˦˥
vie,˦˥̰
vie,˧
vie,˨˩
vie,˨˩̤
vie,˩̰
vie,a̟ː
vie,e
vie,o
vie,ɐ
vie,ɔ
vie,ɛ
vie,ɤ
vie,ɪ
vie,ɯ̞
vie,ʊ
vie,ʌ
vie,ʌ̯
cmn,cç
cmn,cçʰ
cmn,f
cmn,j
cmn,k
cmn,kʰ
cmn,l
cmn,m
cmn,n
cmn,p
cmn,pʰ
cmn,s
cmn,t
cmn,ts
cmn,tsʰ
cmn,tʰ
cmn,w
cmn,w˞
cmn,ç
cmn,ŋ
cmn,ɥ
cmn,ɰ
cmn,ʂ
cmn,ʈʂ
cmn,ʈʂʰ
cmn,ʐ
cmn,χ
cmn,˥
cmn,˥˦
cmn,˧˥
cmn,˧˨˥
cmn,a
cmn,a˞
cmn,a̟˞
cmn,i
cmn,u
cmn,u˞
cmn,y
cmn,ɑ̃˞
cmn,ə˞
cmn,ə̃˞
cmn,ɤ
cmn,ɤ˞
wuu,b̤̥
wuu,d̤̥
wuu,f
wuu,h
wuu,j
wuu,k
wuu,kʰ
wuu,l
wuu,m
wuu,m̩
wuu,n
wuu,p
wuu,pʰ
wuu,s
wuu,t
wuu,ts
wuu,tsʰ
wuu,tz̤̥
wuu,tʰ
wuu,v
wuu,w
wuu,z
wuu,z̞̩
wuu,ŋ
wuu,ŋ̩
wuu,ɡ̤̥
wuu,ɦ
wuu,ɻ
wuu,ʔ
wuu,˥
wuu,˥˧˥
wuu,˦
wuu,a
wuu,i
wuu,ĩ
wuu,o̞
wuu,õ̞
wuu,u
wuu,y
wuu,æ̃
wuu,ə̟
hak,f
hak,h
hak,j
hak,k̟
hak,k̟ʰ
hak,l
hak,mb
hak,m̩
hak,nd
hak,p
hak,pʰ
hak,s
hak,t
hak,ts
hak,tsʰ
hak,tʰ
hak,w
hak,z̞̩
hak,ŋɡ̟
hak,ŋ̩
hak,ʔ
hak,˥
hak,˧
hak,˧˩
hak,˩
hak,a
hak,i
hak,u
hak,æ
hak,ɔ
hak,ɛ
yue,f
yue,h
yue,j
yue,k
yue,kʰ
yue,kʷ
yue,kʷʰ
yue,l
yue,l̥
yue,m
yue,m̩
yue,n
yue,p
yue,pʰ
yue,t
yue,tʰ
yue,t̠ʃ
yue,t̠ʃʰ
yue,w
yue,ŋ
yue,ŋ̩
yue,ʃ
yue,˥
yue,˥˦
yue,˧
yue,˧˩̰
yue,˩
yue,a
yue,i
yue,u
yue,æ
yue,ɔ
ium,b
ium,c
ium,cʰ
ium,d
ium,dz
ium,f
ium,h
ium,j
ium,j̥
ium,k
ium,kʰ
ium,l
ium,l̥
ium,m
ium,m̥
ium,m̩
ium,n
ium,n̥
ium,n̩
ium,p
ium,pʰ
ium,s
ium,t
ium,ts
ium,tsʰ
ium,tʰ
ium,w
ium,ŋ
ium,ŋ̥
ium,ɟ
ium,ɡ
ium,ɲ
ium,ɲ̥
ium,ʍ
ium,ʔ
ium,˥˦
ium,˦
ium,˧˨ˤ
ium,˧˩
ium,˨˧
ium,˩̰
ium,a
ium,aː
ium,e
ium,i
ium,o
ium,u
ium,æ
ium,ɔ
njz,b
njz,d
njz,j
njz,k
