Source,Target,Value
aal,1A,4
aal,2A,3
aal,3A,3
aal,4A,2
aal,5A,2
aal,6A,1
aal,7A,5
aal,8A,2
aal,10A,2
aal,10B,1
aal,11A,1
aal,12A,3
aal,13A,2
aal,18A,1
aal,19A,3
aar,30A,2
aar,31A,2
aar,32A,3
aar,34A,6
aar,37A,5
aar,38A,5
aar,57A,4
aar,64A,2
aar,81A,1
aar,82A,1
aar,83A,1
aar,85A,1
aar,86A,1
aar,87A,1
aar,88A,1
aar,89A,1
aar,90A,2
aar,90B,1
aar,95A,1
aar,96A,1
aar,97A,1
aar,105A,1
aar,108A,3
aar,108B,4
aar,109A,1
aar,109B,4
aar,124A,2
aar,138A,1
aau,81A,1
aau,82A,1
aau,83A,1
aau,85A,1
aau,86A,1
aau,88A,2
aau,89A,2
aau,95A,1
aau,143A,2
aau,143E,4
aau,143F,1
aau,143G,4
aau,144A,8
aau,144B,4
aau,144L,4
aau,144P,4
aau,144Q,4
aau,144R,8
aau,144S,1
abb,33A,1
abb,53A,6
abb,81A,2
abb,82A,1
abb,83A,2
abb,85A,2
abb,86A,2
abb,87A,2
abb,93A,2
abb,95A,4
abb,97A,4
abi,132A,2
abi,133A,2
abi,134A,2
abi,135A,2
abk,1A,5
abk,2A,1
abk,3A,5
abk,4A,4
abk,5A,2
abk,6A,2
abk,7A,2
abk,8A,2
abk,9A,3
abk,10A,2
abk,11A,1
abk,12A,3
abk,13A,1
abk,14A,1
abk,15A,7
abk,16A,6
abk,18A,1
abk,19A,4
abk,20A,1
abk,21A,5
abk,21B,1
abk,22A,6
abk,23A,1
abk,24A,1
abk,25A,1
abk,25B,2
abk,26A,4
abk,27A,1
abk,28A,1
abk,29A,3
abk,30A,3
abk,31A,2
abk,32A,2
abk,33A,2
abk,34A,6
abk,35A,4
abk,36A,2
abk,37A,1
abk,38A,2
abk,39A,5
abk,40A,3
abk,41A,2
abk,42A,1
abk,44A,1
abk,46A,3
abk,47A,2
abk,48A,4
abk,49A,2
abk,50A,2
abk,51A,9
abk,52A,2
abk,53A,5
abk,54A,7
abk,55A,1
abk,57A,1
abk,58A,2
abk,58B,1
abk,59A,1
abk,60A,6
abk,61A,2
abk,62A,3
abk,63A,1
abk,64A,1
abk,65A,1
abk,66A,1
abk,67A,1
abk,68A,3
abk,69A,2
abk,70A,1
abk,71A,3
abk,72A,4
abk,73A,1
abk,74A,2
abk,75A,1
abk,76A,2
abk,77A,2
abk,78A,2
abk,79A,1
abk,79B,5
abk,80A,1
abk,81A,1
abk,82A,1
abk,83A,1
abk,84A,3
abk,85A,1
abk,86A,1
abk,87A,2
abk,88A,1
abk,89A,3
abk,90A,2
abk,90B,1
abk,91A,1
abk,92A,6
abk,93A,2
abk,94A,4
abk,95A,1
abk,96A,1
abk,97A,2
abk,98A,1
abk,99A,1
abk,100A,3
abk,101A,2
abk,102A,5
abk,103A,2
abk,104A,3
abk,105A,1
abk,106A,2
abk,107A,2
abk,108A,3
abk,108B,4
abk,109A,4
abk,109B,1
abk,110A,2
abk,111A,2
abk,112A,1
abk,113A,3
abk,114A,3
abk,115A,1
abk,116A,2
abk,117A,5
abk,118A,1
abk,119A,1
abk,120A,1
abk,122A,4
abk,123A,4
abk,124A,2
abk,125A,2
abk,126A,3
abk,127A,3
abk,128A,2
abk,129A,2
abk,130A,2
abk,131A,2
abk,136A,1
abk,136B,1
abk,137A,1
abk,137B,2
abk,143A,11
abk,143E,2
abk,143F,2
abk,143G,4
abk,144A,20
abk,144L,15
abk,144M,6
abk,144P,4
abk,144Q,4
abk,144R,2
abk,144S,2
abt,23A,2
abt,24A,2
abt,25A,2
abt,25B,2
abt,37A,5
abt,38A,5
abt,41A,3
abt,42A,2
abt,43A,2
abt,51A,6
abt,55A,1
abt,69A,2
abt,81A,1
abt,82A,1
abt,83A,1
abt,85A,1
abt,86A,1
abt,87A,1
abt,88A,1
abt,89A,2
abt,90A,2
abt,90B,1
abt,93A,2
abt,94A,5
abt,95A,1
abt,96A,1
abt,97A,1
abt,101A,1
abt,112A,2
abt,116A,1
abt,143A,8
abt,143E,1
abt,143F,2
abt,143G,4
abt,144A,16
abt,144L,15
abt,144M,21
abt,144S,2
aca,14A,2
aca,15A,8
aca,16A,1
aca,26A,4
aca,33A,2
aca,51A,9
aca,52A,2
aca,57A,1
aca,69A,2
aca,81A,2
aca,82A,1
aca,83A,2
aca,85A,1
aca,86A,1
aca,87A,2
aca,90A,1
aca,90C,1
aca,93A,1
aca,95A,3
aca,96A,4
aca,97A,4
aca,101A,2
aca,106A,2
aca,129A,2
aca,130A,2
aca,131A,6
aca,143A,1
aca,143E,1
aca,143F,4
aca,143G,4
aca,144A,2
aca,144B,3
aca,144D,2
aca,144H,4
aca,144I,1
aca,144J,7
aca,144K,4
ace,14A,7
ace,15A,8
ace,16A,5
ace,17A,1
ace,23A,1
ace,24A,1
ace,25A,1
ace,25B,2
ace,26A,1
ace,33A,9
ace,34A,1
ace,37A,5
