glottocode,Phoneme,dataset
kore1280,h,spa
kore1280,j,spa
kore1280,k,spa
kore1280,kʰ,spa
kore1280,kˀ,spa
kore1280,l,spa
kore1280,m,spa
kore1280,n,spa
kore1280,p,spa
kore1280,pʰ,spa
kore1280,pˀ,spa
kore1280,s,spa
kore1280,sˀ,spa
kore1280,t,spa
kore1280,tʰ,spa
kore1280,tˀ,spa
kore1280,t̠ʃ,spa
kore1280,t̠ʃʰ,spa
kore1280,t̠ʃˀ,spa
kore1280,w,spa
kore1280,ŋ,spa
kore1280,ʔ,spa
kore1280,a,spa
kore1280,aː,spa
kore1280,e,spa
kore1280,eː,spa
kore1280,i,spa
kore1280,iː,spa
kore1280,o,spa
kore1280,oː,spa
kore1280,u,spa
kore1280,uː,spa
kore1280,y,spa
kore1280,æ,spa
kore1280,æː,spa
kore1280,ø,spa
kore1280,ɤ,spa
kore1280,ɤː,spa
kore1280,ɯ,spa
kore1280,ɯː,spa
kett1243,b,spa
kett1243,d,spa
kett1243,dʲ,spa
kett1243,h,spa
kett1243,k̟,spa
kett1243,lʲ,spa
kett1243,lˠ,spa
kett1243,m,spa
kett1243,n,spa
kett1243,nʲ,spa
kett1243,q,spa
kett1243,s,spa
kett1243,sʲ,spa
kett1243,t,spa
kett1243,tʲ,spa
kett1243,ŋ,spa
kett1243,ʔ,spa
kett1243,ʝ,spa
kett1243,a,spa
kett1243,aː,spa
kett1243,i,spa
kett1243,iː,spa
kett1243,uː,spa
kett1243,æ,spa
kett1243,æː,spa
kett1243,ɔ,spa
kett1243,ɔː,spa
kett1243,ɨ,spa
kett1243,ɨː,spa
kett1243,ɵ̞,spa
kett1243,ɵ̞ː,spa
kett1243,ʊ,spa
lakk1252,b,spa
lakk1252,d,spa
lakk1252,h,spa
lakk1252,j,spa
lakk1252,kʰ,spa
lakk1252,kʷʰ,spa
lakk1252,kʷʼ,spa
lakk1252,kʼ,spa
lakk1252,k͈,spa
lakk1252,k͈ʷ,spa
lakk1252,l,spa
lakk1252,m,spa
lakk1252,n,spa
lakk1252,pʰ,spa
lakk1252,pʼ,spa
lakk1252,p͈,spa
lakk1252,qʰ,spa
lakk1252,qʷʰ,spa
lakk1252,qʷʼ,spa
lakk1252,qʼ,spa
lakk1252,q͈,spa
lakk1252,q͈ʷ,spa
lakk1252,r,spa
lakk1252,s,spa
lakk1252,s͈,spa
lakk1252,tsʰ,spa
lakk1252,tsʷʰ,spa
lakk1252,tsʷʼ,spa
lakk1252,tsʼ,spa
lakk1252,tʰ,spa
lakk1252,tʼ,spa
lakk1252,t̠ʃʰ,spa
lakk1252,t̠ʃʷʰ,spa
lakk1252,t̠ʃʷʼ,spa
lakk1252,t̠ʃʼ,spa
lakk1252,t̠͈ʃ,spa
lakk1252,t̠͈ʃʷ,spa
lakk1252,t͈,spa
lakk1252,t͈s,spa
lakk1252,t͈sʷ,spa
lakk1252,w,spa
lakk1252,x,spa
lakk1252,xʷ,spa
lakk1252,x͈,spa
lakk1252,x͈ʷ,spa
lakk1252,z,spa
lakk1252,ħ,spa
lakk1252,ɡ,spa
lakk1252,ɢ,spa
lakk1252,ɢʷ,spa
lakk1252,ʃ,spa
lakk1252,ʃʷ,spa
lakk1252,ʃ͈,spa
lakk1252,ʃ͈ʷ,spa
lakk1252,ʒ,spa
lakk1252,ʔ,spa
lakk1252,χ,spa
lakk1252,χʷ,spa
lakk1252,χ͈,spa
lakk1252,χ͈ʷ,spa
lakk1252,a,spa
lakk1252,aː,spa
lakk1252,e̞ˤ,spa
lakk1252,i,spa
lakk1252,iː,spa
lakk1252,u,spa
lakk1252,uː,spa
lakk1252,æˤ,spa
lakk1252,ø̞ˤ,spa
kaba1278,b,spa
kaba1278,d̻,spa
kaba1278,d̻z̻,spa
kaba1278,f,spa
kaba1278,fʼ,spa
kaba1278,j,spa
kaba1278,kʷʰ,spa
kaba1278,kʷʼ,spa
kaba1278,k̟ʲʰ,spa
kaba1278,k̟ʲʼ,spa
kaba1278,m,spa
kaba1278,n̻,spa
kaba1278,pʰ,spa
kaba1278,pʼ,spa
kaba1278,qχ,spa
kaba1278,qχʷ,spa
kaba1278,qχʷʼ,spa
kaba1278,qχʼ,spa
kaba1278,r,spa
kaba1278,s̻,spa
kaba1278,t̻s̻,spa
kaba1278,t̻s̻ʼ,spa
kaba1278,t̻ʰ,spa
kaba1278,t̻ʼ,spa
kaba1278,v,spa
kaba1278,w,spa
kaba1278,xʷ,spa
kaba1278,x̟ʲ,spa
kaba1278,z̻,spa
kaba1278,ç̟,spa
kaba1278,ħ,spa
kaba1278,ɡʷ,spa
kaba1278,ɡ̟ʲ,spa
kaba1278,ɣ̟ʲ,spa
kaba1278,ɦ,spa
kaba1278,ɬʲ,spa
kaba1278,ɬʲʼ,spa
kaba1278,ɮʲ,spa
kaba1278,ʁ,spa
kaba1278,ʁʷ,spa
kaba1278,ʃ,spa
kaba1278,ʃʼ,spa
kaba1278,ʒ,spa
kaba1278,ʔ,spa
kaba1278,ʔʷ,spa
kaba1278,ʕ,spa
kaba1278,ʝ̟,spa
kaba1278,χ,spa
kaba1278,χʷ,spa
kaba1278,a̟ː,spa
kaba1278,e̞ː,spa
kaba1278,iː,spa
kaba1278,o̞ː,spa
kaba1278,uː,spa
kaba1278,ɜ,spa
kaba1278,ɨ,spa
nucl1302,h,spa
nucl1302,j,spa
nucl1302,k,spa
nucl1302,kʰ,spa
nucl1302,kʼ,spa
nucl1302,lˠ,spa
nucl1302,m,spa
nucl1302,n,spa
nucl1302,p,spa
nucl1302,pʰ,spa
nucl1302,pʼ,spa
nucl1302,qʼ,spa
nucl1302,r,spa
nucl1302,s,spa
nucl1302,t,spa
nucl1302,ts,spa
nucl1302,tsʰ,spa
nucl1302,tsʼ,spa
nucl1302,tʰ,spa
nucl1302,tʼ,spa
nucl1302,t̠ʃ,spa
nucl1302,t̠ʃʰ,spa
nucl1302,t̠ʃʼ,spa
