L.iso,F.id
aal,1A
aal,2A
aal,3A
aal,4A
aal,5A
aal,6A
aal,7A
aal,8A
aal,10A
aal,10B
aal,11A
aal,12A
aal,13A
aal,18A
aal,19A
aar,30A
aar,31A
aar,32A
aar,34A
aar,37A
aar,38A
aar,57A
aar,64A
aar,81A
aar,82A
aar,83A
aar,85A
aar,86A
aar,87A
aar,88A
aar,89A
aar,90A
aar,90B
aar,95A
aar,96A
aar,97A
aar,105A
aar,108A
aar,108B
aar,109A
aar,109B
aar,124A
aar,138A
aau,81A
aau,82A
aau,83A
aau,85A
aau,86A
aau,88A
aau,89A
aau,95A
aau,143A
aau,143E
aau,143F
aau,143G
aau,144A
aau,144B
aau,144L
aau,144P
aau,144Q
aau,144R
aau,144S
abb,33A
abb,53A
abb,81A
abb,82A
abb,83A
abb,85A
abb,86A
abb,87A
abb,93A
abb,95A
abb,97A
abi,132A
abi,133A
abi,134A
abi,135A
abk,1A
abk,2A
abk,3A
abk,4A
abk,5A
abk,6A
abk,7A
abk,8A
abk,9A
abk,10A
abk,11A
abk,12A
abk,13A
abk,14A
abk,15A
abk,16A
abk,18A
abk,19A
abk,20A
abk,21A
abk,21B
abk,22A
abk,23A
abk,24A
abk,25A
abk,25B
abk,26A
abk,27A
abk,28A
abk,29A
abk,30A
abk,31A
abk,32A
abk,33A
abk,34A
abk,35A
abk,36A
abk,37A
abk,38A
abk,39A
abk,40A
abk,41A
abk,42A
abk,44A
abk,46A
abk,47A
abk,48A
abk,49A
abk,50A
abk,51A
abk,52A
abk,53A
abk,54A
abk,55A
abk,57A
abk,58A
abk,58B
abk,59A
abk,60A
abk,61A
abk,62A
abk,63A
abk,64A
abk,65A
abk,66A
abk,67A
abk,68A
abk,69A
abk,70A
abk,71A
abk,72A
abk,73A
abk,74A
abk,75A
abk,76A
abk,77A
abk,78A
abk,79A
abk,79B
abk,80A
abk,81A
abk,82A
abk,83A
abk,84A
abk,85A
abk,86A
abk,87A
abk,88A
abk,89A
abk,90A
abk,90B
abk,91A
abk,92A
abk,93A
abk,94A
abk,95A
abk,96A
abk,97A
abk,98A
abk,99A
abk,100A
abk,101A
abk,102A
abk,103A
abk,104A
abk,105A
abk,106A
abk,107A
abk,108A
abk,108B
abk,109A
abk,109B
abk,110A
abk,111A
abk,112A
abk,113A
abk,114A
abk,115A
abk,116A
abk,117A
abk,118A
abk,119A
abk,120A
abk,122A
abk,123A
abk,124A
abk,125A
abk,126A
abk,127A
abk,128A
abk,129A
abk,130A
abk,131A
abk,136A
abk,136B
abk,137A
abk,137B
abk,143A
abk,143E
abk,143F
abk,143G
abk,144A
abk,144L
abk,144M
abk,144P
abk,144Q
abk,144R
abk,144S
abt,23A
abt,24A
abt,25A
abt,25B
abt,37A
abt,38A
abt,41A
abt,42A
abt,43A
abt,51A
abt,55A
abt,69A
abt,81A
abt,82A
abt,83A
abt,85A
abt,86A
abt,87A
abt,88A
abt,89A
abt,90A
abt,90B
abt,93A
abt,94A
abt,95A
abt,96A
abt,97A
abt,101A
abt,112A
abt,116A
abt,143A
abt,143E
abt,143F
abt,143G
abt,144A
abt,144L
abt,144M
abt,144S
aca,14A
aca,15A
aca,16A
aca,26A
aca,33A
aca,51A
aca,52A
aca,57A
aca,69A
aca,81A
aca,82A
aca,83A
aca,85A
aca,86A
aca,87A
aca,90A
aca,90C
aca,93A
aca,95A
aca,96A
aca,97A
aca,101A
aca,106A
aca,129A
aca,130A
aca,131A
aca,143A
aca,143E
aca,143F
aca,143G
aca,144A
aca,144B
aca,144D
aca,144H
aca,144I
aca,144J
aca,144K
ace,14A
ace,15A
ace,16A
ace,17A
ace,23A
ace,24A
ace,25A
ace,25B
ace,26A
ace,33A
ace,34A
ace,37A
ace,38A
ace,41A
ace,42A
ace,44A
ace,46A
ace,48A
ace,51A
ace,57A
ace,63A
ace,64A
ace,69A
ace,70A
ace,71A
ace,74A
ace,75A
ace,76A
ace,81A
ace,82A
ace,83A
ace,84A
ace,85A
ace,86A
ace,87A
ace,88A
ace,89A
ace,90A
ace,90C
ace,91A
ace,92A
ace,93A
ace,94A
ace,95A
ace,96A
ace,97A
ace,100A
ace,102A
ace,103A
ace,104A
ace,105A
ace,107A
ace,111A
ace,115A
ace,116A
ace,117A
ace,118A
ace,119A
ace,120A
ace,122A
ace,123A
ace,124A
ace,125A
ace,126A
ace,127A
ace,128A
ace,136A
ace,136B
ace,137A
ace,137B
ace,138A
ace,143A
ace,143E
ace,143F
ace,143G
ach,26A
ach,33A
ach,37A
ach,51A
ach,52A
ach,57A
ach,63A
ach,69A
ach,70A
ach,71A
ach,81A
ach,82A
ach,83A
ach,85A
ach,86A
ach,87A
ach,89A
ach,90A
ach,90C
ach,93A
ach,94A
ach,95A
ach,96A
ach,97A
ach,101A
ach,117A
ach,118A
ach,119A
ach,120A
ach,143A
ach,143E
