walscode,glottocode
abi,abip1241
abk,abkh1244
abm,alab1237
ach,ache1246
acm,achu1247
aco,west2632
adk,ando1256
adz,adze1240
aea,aleu1260
aeg,egyp1253
agh,aghe1239
aht,ahte1237
aik,aika1237
ain,ainu1240
aiz,apro1235
akn,akan1250
akw,akaw1239
ala,alam1246
alb,gheg1238
ald,alla1248
alw,alaw1244
amc,amah1246
ame,amel1241
amh,amha1245
amo,amoo1242
amp,east2379
amu,yane1238
amz,guer1243
ana,arao1248
anc,ngas1240
ani,anii1246
ant,anga1290
ao,aona1235
api,apin1244
apu,apur1254
arb,arab1268
arc,arch1244
arm,nucl1235
arp,buki1249
asm,tamn1235
ata,atay1247
ava,avar1256
awn,awng1244
awp,awac1239
aym,cent2142
aze,sout2697
bag,bagi1246
bai,cent2004
baj,indo1317
bam,bamb1269
baw,bawm1236
bbf,sout2840
bco,bell1243
bee,beem1239
bej,beja1238
ben,beng1280
ber,bert1248
bet,dalo1238
bir,bero1242
bis,biss1248
bki,baka1277
bkr,bata1293
bma,cent2194
bng,qaqe1238
bno,waim1255
bod,bodo1269
bra,lave1249
brb,baat1238
brd,bard1255
bre,bret1244
brh,brah1256
bri,brib1243
brm,nucl1310
brr,boro1282
brw,west2397
bsk,bash1264
bsq,basq1248
bto,bata1289
bua,bura1267
bul,bulg1262
bur,buru1296
cac,cacu1241
cad,cadd1256
cah,cahu1264
cam,cams1241
car,gali1262
cax,asha1243
cay,chac1249
cck,chic1270
ccp,coco1261
cha,cham1312
che,cher1273
chk,chuk1273
chl,uppe1439
chp,chip1261
chq,quio1240
chu,niva1238
chv,chuv1255
chw,west2650
cil,luba1249
cle,leal1235
cmn,coma1245
cnl,cane1242
cnt,yuec1235
cof,cofa1242
coo,coos1249
cre,plai1258
cso,west2644
cti,tedi1235
ctl,stan1289
cub,cube1242
cve,chua1250
cyv,cayu1262
dad,dadi1250
dag,daga1275
dah,daha1245
dan,dann1241
dar,dara1250
ddf,darf1239
der,dera1245
det,shua1254
dgb,dagb1246
dgr,daur1238
die,kumi1248
din,nort2815
dio,jola1263
diy,dier1241
diz,dizi1235
djp,dhuw1249
dni,lowe1415
dnw,dang1274
don,sout2741
doy,doya1240
dre,dehu1237
dts,toro1252
dum,vani1248
dyi,dyir1250
efi,efik1245
eja,ejag1239
eka,ekar1243
eng,stan1293
epe,epen1239
eve,even1259
evn,even1260
ewe,ewee1241
ewo,ewon1239
eya,eyak1241
fas,fasu1242
fef,fefe1239
fij,fiji1243
fin,finn1318
fre,stan1290
ful,fuln1247
fur,furr1244
fuz,mind1253
fye,fyam1238
ga,gaaa1244
gan,apuc1241
gar,garo1247
gbb,gbay1287
gds,gads1258
geo,nucl1302
ger,stan1295
ghb,guah1255
gla,qaua1234
gmb,guam1248
goa,wayu1243
goo,goon1238
grb,barc1235
grk,mode1248
grr,gara1269
grw,kala1399
gua,para1311
gwa,gbag1258
had,hadz1240
hak,hakk1236
ham,hamt1247
hau,haus1257
haw,hawa1245
hba,hebr1245
hin,hind1269
hix,hixk1239
hmr,hame1242
hok,minn1241
hop,hopi1249
htc,huas1242
hum,muru1274
hun,hung1274
hup,hupa1239
hve,sanm1287
hzb,hunz1247
iaa,iaai1238
iba,iban1264
igb,nucl1417
ign,igna1246
igs,gaam1241
ijo,izon1238
ik,ikkk1242
ika,arhu1242
imo,imon1245
ind,indo1316
ing,ingu1240
ird,iris1253
irq,iraq1241
irr,irar1238
irx,iran1263
iso,isok1239
ite,itel1242
ito,iton1250
iva,ivat1242
iwm,iwam1256
jak,popt1235
jaq,jaqa1244
jav,java1254
jeb,jebe1250
jeh,jehh1245
jiv,shua1257
jng,kach1280
jom,talo1250
jpn,nucl1643
jpr,japr1238
juh,juho1239
kab,kaba1278
kad,katc1249
kal,kala1373
kas,kash1277
kay,kaya1319
kch,koyr1240
ked,keda1252
kef,kafa1242
kek,kekc1242
ker,kera1255
ket,kett1243
kfe,koro1298
kgi,wame1240
kgu,kalk1246
kgz,kirg1245
kha,halh1238
khm,cent1989
kho,nama1264
khr,khar1287
khs,khas1269
kio,kiow1266
kiw,sout2949
kkn,konk1267
kkv,lusi1240
kla,klao1243
klm,klam1254
klv,kili1267
kly,kala1377
kmp,kuni1267
kmu,khmu1256
knd,nucl1305
kng,kain1272
knk,dera1248
knm,kuna1268
knr,cent2050
koa,koas1236
kob,kobo1249
koh,kohu1244
koi,gras1249
kom,komo1258
kor,kore1280
kot,kota1263
koy,koya1251
kpa,kpan1246
kpe,libe1247
krb,gilb1244
krd,cent1972
krk,karo1304
kro,kron1241
kry,kory1246
kse,koyr1242
ksg,sgaw1245
kss,sout2778
ktk,afad1236
kty,khan1273
kul,gamo1244
kun,bord1248
kur,kuru1302
kut,kute1249
kwa,kwai1243
kwk,kwak1269
kwo,kwom1262
kws,kawa1283
kya,kuku1273
kyl,east2342
kzy,komi1268
lad,lada1244
lah,lahu1253
lak,lakk1252
lam,peve1243
lan,lang1324
lat,latv1249
lav,lavu1241
len,lena1238
lep,lepc1244
lez,lezg1247
lit,lith1251
lkk,lakk1238
lkt,lako1247
llm,lele1264
lu,luuu1242
lua,niel1243
lug,lugb1240
lui,luis1253
luo,luok1236
lus,lush1252
luv,luva1239
maa,masa1300
mab,maba1277
mal,plat1254
mao,maor1246
map,mapu1245
mar,mari1440
mau,maun1240
max,maxa1247
may,maib1239
mba,mbaa1245
mbb,mbab1239
mbm,mbum1254
mei,mani1292
mie,iumi1238
mku,mara1386
mla,came1252
mlk,mull1237
mme,east2328
mnc,manc1252
mnd,mand1415
mne,nort2952
mog,mogh1245
mor,morm1235
mov,movi1243
